screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,50 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD-3A,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,15,500,1200,,BN1,3,,FALSE,,F5,F10,F5,F7,F7,,gots000
,,,,M1,,,,,BN1,,,,,,,WD-3B,1,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M1,0,0,15,500,1200,,BN2,2,,,,M3,M3,M1,F7,F9,,do not remove this last column
,,,,M2,,,,,BN2,,,,,,,WD-3C,2,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M2,0,0,15,200,800,,BN3,1,,,,F6,M3,F9,M4,F9,,
,,,,M3,,,,,BN3,,,,,,,,,,,,,,,,,,,,,M3,0,0,10,150,500,,,,,,,F6,F5,M3,F10,M2,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,10,150,400,,,,,,,BN,F5,F8,M4,F6,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,10,100,150,,,,,,,F8,F6,F7,F10,F6,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,10,100,150,,,,,,,F9,F6,BN,F10,M1,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,10,100,150,,,,,,,M2,M2,F6,F6,M1,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,50,100,,,,,,,F10,F9,F10,F6,F8,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,50,100,,,,,,,M2,F7,M1,M3,F8,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,50,100,,,,,,,F9,F9,F7,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,WD-3A,WD,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,WD-3B,F9,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M4,WD-3C,M2,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,M1,F7,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F6,F7,M2,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,M2,F5,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F7,F5,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M2,BN,M1,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F9,F8,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,F9,F8,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,M3,F9,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F8,F9,F9,M4,,
