screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,,sc to unlock,fake spin range,,sc num,table 2 weights 1,table 2 weights 2,,special pos,,fake symbols,table 3 weights 1,table 3 weights 2,special pos weights 1,special pos weights 2,,table 4 weights 1,table 4 weights 2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
88888,,5,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,SCF,8,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,SC1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,3,3,,0,2,9,,16,,SC1,1,1,0,0,,1,1,,TRUE,,RP1,RP6,RP16,RP1,RP1,0,0,0,0,0,,gots000
,,,,,,M1,,,,,,,SC2,50,,RP2,,SCM,9,FALSE,FALSE,1,TRUE,1500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,0,0,0,,SC2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,,8,6,,1,2,3,,,,SC2,1,2,0,0,,1,1,,,,RP4,RP2,RP7,RP2,RP4,0,0,0,0,0,,do not remove this last column
,,,,,,M2,,,,,,,SC3,75,,RP3,,SCJ,10,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,M2,0,0,0,0,0,,SC3,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,,15,,,2,3,2,,,,SC3,2,1,0,0,,,,,,,RP2,RP5,RP3,RP5,RP2,0,0,0,0,0,,
,,,,,,M3,,,,,,,SC4,100,,RP4,,,,,,,,,,,,,,,,M3,0,0,0,0,0,,SC4,3,3,3,1,2,3,0,0,0,0,0,0,0,0,0,0,,25,,,3,1,1,,,,SC4,2,2,0,0,,,,,,,RP6,RP4,RP4,RP4,RP6,0,0,0,0,0,,
,,,,,,M4,,,,,,,SC5,150,,RP5,,,,,,,,,,,,,,,,M4,0,0,0,0,0,,SC5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,4,1,1,,,,SC5,2,2,0,0,,,,,,,RP1,RP1,RP9,RP1,RP1,0,0,0,0,0,,
,,,,,,F5,,,,,,,SC7,200,,RP6,,,,,,,,,,,,,,,,F5,0,0,0,0,0,,SC7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,SC7,1,1,0,0,,,,,,,RP5,RP3,RP5,RP3,RP5,0,0,0,0,0,,
,,,,,,F6,,,,,,,SC8,300,,RP7,,,,,,,,,,,,,,,,F6,0,0,0,0,0,,SC8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,SC8,1,1,0,0,,,,,,,RP3,RP2,RP6,RP2,RP3,0,0,0,0,0,,
,,,,,,F7,,,,,,,SC10,500,,RP8,,,,,,,,,,,,,,,,F7,0,0,0,0,0,,SC10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,SC10,1,1,1,1,,,,,,,RP2,RP8,RP2,RP6,RP2,0,0,3,0,0,,
,,,,,,F8,,,,,,,,,,RP9,,,,,,,,,,,,,,,,F8,0,0,0,0,0,,F5,0,0,8,8,14,30,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,F5,0,0,0,0,,,,,,,RP5,RP1,RP8,RP5,RP1,0,0,2,0,0,,
,,,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,0,0,0,,F6,0,0,7,7,14,27,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,F6,0,0,0,0,,,,,,,RP4,RP3,RP1,RP4,RP3,0,0,1,0,0,,
,,,,,,F10,,,,,,,,,,RP11,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,F7,0,0,7,7,14,20,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,F7,0,0,0,0,,,,,,,RP10,RP7,RP10,RP10,RP15,0,0,1,0,0,,
,,,,,,,,,,,,,,,,RP12,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,7,7,14,20,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,F8,0,0,0,0,,,,,,,RP1,RP5,RP1,RP3,RP14,0,0,0,0,0,,
,,,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,7,7,14,20,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,F9,0,0,0,0,,,,,,,RP8,RP10,RP1,RP8,RP4,0,0,0,0,0,,
,,,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,SCF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,SCF,1,1,1,1,,,,,,,RP3,RP2,RP3,RP7,RP14,0,0,0,0,0,,
,,,,,,,,,,,,,,,,RP15,,,,,,,,,,,,,,,,,,,,,,,SCM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,SCM,1,1,1,1,,,,,,,RP7,RP7,RP5,RP1,RP2,3,2,0,1,1,,
,,,,,,,,,,,,,,,,RP16,,,,,,,,,,,,,,,,,,,,,,,SCJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,SCJ,0,0,1,1,,,,,,,RP6,RP5,RP2,RP6,RP12,2,1,0,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP6,RP6,RP1,RP6,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP6,RP2,RP2,RP4,RP2,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,RP5,RP4,RP2,RP5,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP4,RP1,RP6,RP4,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,RP1,,RP1,RP1,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP3,,RP5,RP3,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,RP2,,RP3,RP2,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP1,,RP2,RP1,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,RP12,,RP6,RP3,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,RP8,,RP4,RP12,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP6,RP5,,RP10,RP5,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP10,RP15,,RP5,RP15,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP8,RP3,,RP3,RP2,0,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,RP6,,RP7,RP11,0,0,,0,0,,
