screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,,game
344443,,40 lines 344443,,WD,,WD,1,,BN-2A,,SC1,100,,RP1,,WD,0,0,0,0,0,0,,WD,0,0,,FALSE,,F5,M1,M1,M1,M1,F5,,gots000
,,,,M1,,,,,BN-2B,,,,,RP2,,M1,0,0,15,30,100,150,,M1,1,1,,,,F6,M1,M1,M1,M1,F6,,do not remove this last column
,,,,M2,,,,,,,,,,,,M2,0,0,15,30,80,125,,M2,0,0,,,,BN-2A,M1,M1,M1,M1,BN-2A,,
,,,,M3,,,,,,,,,,,,M3,0,0,10,20,60,110,,M3,0,0,,,,BN-2B,M1,M1,M1,M1,BN-2B,,
,,,,M4,,,,,,,,,,,,M4,0,0,10,20,50,100,,M4,0,0,,,,F7,,,,,F7,,
,,,,F5,,,,,,,,,,,,F5,0,0,2,5,10,30,,F5,0,0,,,,F5,,,,,F5,,
,,,,F6,,,,,,,,,,,,F6,0,0,2,5,10,30,,F6,0,0,,,,M1,,,,,M1,,
,,,,F7,,,,,,,,,,,,F7,0,0,2,5,10,30,,F7,0,0,,,,RP1,,,,,RP1,,
,,,,F8,,,,,,,,,,,,F8,0,0,2,5,10,30,,F8,0,0,,,,RP1,,,,,RP1,,
,,,,F9,,,,,,,,,,,,F9,0,0,2,5,10,30,,F9,0,0,,,,RP1,,,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN-2A,,,,,BN-2A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN-2B,,,,,BN-2B,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,F8,,
