screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,mystery trigger weights,mystery credits,mystery weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
44444,,40 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,2,3,,1,400,150,,FALSE,,F5,F8,F9,F6,M3,,gots000
,,,,M1,,W2,2,,,,,,,RP2,,M1,0,0,25,100,800,,M1,4,2,,76,450,150,,,,M2,F6,F9,F8,F8,,do not remove this last column
,,,,M2,,W3,3,,,,,,,,,M2,0,0,20,75,500,,M2,6,2,,,500,100,,,,F9,M2,M2,F8,F5,,
,,,,M3,,W4,4,,,,,,,,,M3,0,0,15,50,250,,M3,4,2,,,600,200,,,,F9,F5,F6,M2,M2,,
,,,,M4,,W5,5,,,,,,,,,M4,0,0,10,50,200,,M4,4,2,,,700,100,,,,BN,WD,F7,M2,M3,,
,,,,F5,,,,,,,,,,,,F5,0,0,5,25,100,,,,,,,800,200,,,,F8,WD,M4,M1,F6,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,25,100,,,,,,,900,100,,,,F8,WD,M4,F6,F8,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,25,100,,,,,,,1000,400,,,,F8,WD,M4,WD,F8,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,25,100,,,,,,,1200,100,,,,M2,F9,M4,F7,M2,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,25,100,,,,,,,1500,100,,,,M3,F9,WD,F7,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,18,,,,F9,F9,WD,M3,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,10,,,,F9,M2,WD,M3,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,6,,,,F9,F7,M3,F6,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,5,,,,M4,F7,F8,M4,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F5,F7,F5,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F7,F5,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,F9,F9,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,F9,F9,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,BN,F6,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,F8,M1,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,F8,M1,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F6,M3,M1,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,RP2,M1,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,RP2,F8,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,RP2,F7,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,RP2,F9,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,F5,RP1,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,M1,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,WD,M1,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,M1,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M4,M1,WD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F5,F6,WD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M2,WD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,M2,WD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,M2,F8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,M2,F5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP1,WD,F5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,WD,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,WD,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,F7,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F5,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,F5,RP1,,,
