screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,reels 1 weighted,reels 2 weighted,reels 3 weighted,reels 4 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 1,reels 1,reels 1,reels 1,reels 1,reels 2,reels 2,reels 2,reels 2,reels 2,reels 3,reels 3,reels 3,reels 3,reels 3,reels 4,reels 4,reels 4,reels 4,reels 4,,game
44444,,40 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,M1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,,F5,F6,F6,F8,F6,F5,F6,F6,F8,F6,F5,F6,F6,F8,F6,F5,F6,F6,F8,F6,F5,F6,F6,F8,F6,,gots000
,,,,M1,,W2,2,,,,,,,,,M1,0,0,25,100,800,,M2,0,,,,,,,,M2,F6,M3,F8,F8,M2,F6,M3,F8,F8,M2,F6,M3,F8,F8,M2,F6,M3,F8,F8,M2,F6,M3,F8,F8,,do not remove this last column
,,,,M2,,W3,3,,,,,,,,,M2,0,0,20,75,500,,M3,0,,,,,,,,F6,WD,M3,F9,F8,F6,W2,M3,F9,F8,F6,W3,M3,F9,F8,F6,W4,M3,F9,F8,F6,W5,M3,F9,F8,,
,,,,M3,,W4,4,,,,,,,,,M3,0,0,15,50,250,,M4,0,,,,,,,,M1,WD,F7,M1,F9,M1,W2,F7,M1,F9,M1,W3,F7,M1,F9,M1,W4,F7,M1,F9,M1,W5,F7,M1,F9,,
,,,,M4,,W5,5,,,,,,,,,M4,0,0,10,50,200,,F5,0,,,,,,,,M3,WD,F6,M1,F9,M3,W2,F6,M1,F9,M3,W3,F6,M1,F9,M3,W4,F6,M1,F9,M3,W5,F6,M1,F9,,
,,,,F5,,,,,,,,,,,,F5,0,0,5,25,100,,F6,0,,,,,,,,M3,WD,M1,F7,M2,M3,W2,M1,F7,M2,M3,W3,M1,F7,M2,M3,W4,M1,F7,M2,M3,W5,M1,F7,M2,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,25,100,,F7,0,,,,,,,,F5,F7,M1,F7,M2,F5,F7,M1,F7,M2,F5,F7,M1,F7,M2,F5,F7,M1,F7,M2,F5,F7,M1,F7,M2,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,25,100,,F8,1,,,,,,,,F7,F6,F9,M4,M3,F7,F6,F9,M4,M3,F7,F6,F9,M4,M3,F7,F6,F9,M4,M3,F7,F6,F9,M4,M3,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,25,100,,F9,0,,,,,,,,F7,F8,F9,M1,M3,F7,F8,F9,M1,M3,F7,F8,F9,M1,M3,F7,F8,F9,M1,M3,F7,F8,F9,M1,M3,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,25,100,,,,,,,,,,,M4,F8,M1,M1,F7,M4,F8,M1,M1,F7,M4,F8,M1,M1,F7,M4,F8,M1,M1,F7,M4,F8,M1,M1,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,M2,F6,F7,M1,W2,M2,F6,F7,M1,W3,M2,F6,F7,M1,W4,M2,F6,F7,M1,W5,M2,F6,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,WD,M2,F6,M1,F8,W2,M2,F6,M1,F8,W3,M2,F6,M1,F8,W4,M2,F6,M1,F8,W5,M2,F6,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F8,M4,F5,F6,M1,F8,M4,F5,F6,M1,F8,M4,F5,F6,M1,F8,M4,F5,F6,M1,F8,M4,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,M4,F5,M4,M2,M1,M4,F5,M4,M2,M1,M4,F5,M4,M2,M1,M4,F5,M4,M2,M1,M4,F5,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M3,F6,M1,M4,M1,M3,F6,M1,M4,M1,M3,F6,M1,M4,M1,M3,F6,M1,M4,M1,M3,F6,M1,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,F5,M1,M3,M4,M3,F5,M1,M3,M4,M3,F5,M1,M3,M4,M3,F5,M1,M3,M4,M3,F5,M1,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,M1,M2,M3,M4,M2,M1,M2,M3,M4,M2,M1,M2,M3,M4,M2,M1,M2,M3,M4,M2,M1,M2,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,M1,M3,F6,F9,M2,M1,M3,F6,F9,M2,M1,M3,F6,F9,M2,M1,M3,F6,F9,M2,M1,M3,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,M4,F5,M2,M3,F7,M4,F5,M2,M3,F7,M4,F5,M2,M3,F7,M4,F5,M2,M3,F7,M4,F5,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F9,M4,F8,M2,M1,F9,M4,F8,M2,M1,F9,M4,F8,M2,M1,F9,M4,F8,M2,M1,F9,M4,F8,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,F8,WD,F7,F7,W2,F8,W2,F7,F7,W3,F8,W3,F7,F7,W4,F8,W4,F7,F7,W5,F8,W5,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,M2,WD,F8,F7,W2,M2,W2,F8,F7,W3,M2,W3,F8,F7,W4,M2,W4,F8,F7,W5,M2,W5,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,M2,WD,F9,F9,M1,M2,W2,F9,F9,M1,M2,W3,F9,F9,M1,M2,W4,F9,F9,M1,M2,W5,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F9,WD,M1,F9,F6,F9,W2,M1,F9,F6,F9,W3,M1,F9,F6,F9,W4,M1,F9,F6,F9,W5,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,F9,M2,M1,M3,F8,F9,M2,M1,M3,F8,F9,M2,M1,M3,F8,F9,M2,M1,M3,F8,F9,M2,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,M1,M2,M1,M1,F8,M1,M2,M1,M1,F8,M1,M2,M1,M1,F8,M1,M2,M1,M1,F8,M1,M2,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M1,F7,M1,F6,M1,M1,F7,M1,F6,M1,M1,F7,M1,F6,M1,M1,F7,M1,F6,M1,M1,F7,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M4,F8,F9,F5,F5,M4,F8,F9,F5,F5,M4,F8,F9,F5,F5,M4,F8,F9,F5,F5,M4,F8,F9,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M4,F9,M1,M4,F5,M4,F9,M1,M4,F5,M4,F9,M1,M4,F5,M4,F9,M1,M4,F5,M4,F9,M1,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,F5,M1,,M4,M2,F5,M1,,M4,M2,F5,M1,,M4,M2,F5,M1,,M4,M2,F5,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,F5,M3,,M1,M2,F5,M3,,M1,M2,F5,M3,,M1,M2,F5,M3,,M1,M2,F5,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F5,M1,M3,,F8,F5,M1,M3,,F8,F5,M1,M3,,F8,F5,M1,M3,,F8,F5,M1,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M1,M4,,F8,F9,M1,M4,,F8,F9,M1,M4,,F8,F9,M1,M4,,F8,F9,M1,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F6,M4,,F9,M1,F6,M4,,F9,M1,F6,M4,,F9,M1,F6,M4,,F9,M1,F6,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,F8,M1,,M2,M3,F8,M1,,M2,M3,F8,M1,,M2,M3,F8,M1,,M2,M3,F8,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,F8,M3,,M1,F6,F8,M3,,M1,F6,F8,M3,,M1,F6,F8,M3,,M1,F6,F8,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,F7,F8,,F5,W2,F7,F8,,F5,W3,F7,F8,,F5,W4,F7,F8,,F5,W5,F7,F8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,F7,F9,,F7,W2,F7,F9,,F7,W3,F7,F9,,F7,W4,F7,F9,,F7,W5,F7,F9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,M1,F6,,F5,W2,M1,F6,,F5,W3,M1,F6,,F5,W4,M1,F6,,F5,W5,M1,F6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,M1,M1,,M1,W2,M1,M1,,M1,W3,M1,M1,,M1,W4,M1,M1,,M1,W5,M1,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M1,M1,,F8,F9,M1,M1,,F8,F9,M1,M1,,F8,F9,M1,M1,,F8,F9,M1,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M1,F5,,F6,F9,M1,F5,,F6,F9,M1,F5,,F6,F9,M1,F5,,F6,F9,M1,F5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,F7,M4,,F6,M3,F7,M4,,F6,M3,F7,M4,,F6,M3,F7,M4,,F6,M3,F7,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F7,M4,,F7,M1,F7,M4,,F7,M1,F7,M4,,F7,M1,F7,M4,,F7,M1,F7,M4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,M1,M2,,M1,F7,M1,M2,,M1,F7,M1,M2,,M1,F7,M1,M2,,M1,F7,M1,M2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F9,M2,,M1,W2,F9,M2,,M1,W3,F9,M2,,M1,W4,F9,M2,,M1,W5,F9,M2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,M3,F9,,M1,W2,M3,F9,,M1,W3,M3,F9,,M1,W4,M3,F9,,M1,W5,M3,F9,,,
