screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
44444,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD2,52,52,52,52,,FALSE,,M1,M1,F9,F8,F9,,gots000
,,,,M1,,WD2,2,,,,,,,RP2,,M1,0,0,125,250,750,,WD3,9,9,9,9,,,,F6,M1,F6,F6,BN,,do not remove this last column
,,,,M2,,WD3,3,,,,,,,RP3,,M2,0,0,75,200,375,,WD4,2,2,2,2,,,,F7,F6,F7,F7,M3,,
,,,,M3,,WD4,4,,,,,,,RP4,,M3,0,0,75,200,375,,WD5,1,1,1,1,,,,M2,F5,F7,F5,M2,,
,,,,M4,,WD5,5,,,,,,,,,M4,0,0,25,100,250,,,,,,,,,,F9,F9,F9,M4,M1,,
,,,,F5,,,,,,,,,,,,M5,0,0,10,50,150,,,,,,,,,,M1,M2,M3,RP4,M3,,
,,,,F6,,,,,,,,,,,,F6,0,0,10,50,150,,,,,,,,,,F8,RP2,RP3,F9,M4,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,50,150,,,,,,,,,,F5,F5,M2,F7,M1,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,50,150,,,,,,,,,,M4,M4,F9,F9,M1,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,50,150,,,,,,,,,,F7,F7,F7,F7,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F6,M4,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M3,BN,M3,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F9,F9,F9,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,F7,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,M4,M4,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F5,F5,F6,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,M1,F8,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,M1,M1,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F7,M1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,F9,F8,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,F8,F8,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,M2,M2,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F9,F9,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,BN,RP4,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F8,F6,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F5,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,F6,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,M2,M4,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,M1,M1,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M3,M1,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,F9,M1,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,F7,M4,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,RP3,F8,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F9,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,M2,M3,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F7,F7,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,M3,F5,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F6,F6,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,BN,F5,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,M4,M1,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F9,F8,F6,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F7,F7,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,M3,F6,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,F9,F9,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F5,F5,F6,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,M2,M2,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,M1,F8,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F5,F9,M4,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F7,F7,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F8,F8,F6,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M1,M3,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,F9,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,M4,F5,BN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,
