screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,2,0,,FALSE,,F7,F10,F6,M4,F10,,gots000
,,,,M1,,,,,BN1,,,,,RP2,,M1,0,0,50,200,500,,M1,1,2,0,,,,F7,M2,M4,F9,M2,,do not remove this last column
,,,,M2,,,,,BN2,,,,,RP3,,M2,0,0,40,150,400,,M2,1,1,0,,,,M5,F7,M2,F9,WD,,
,,,,M3,,,,,BN3,,,,,,,M3,0,0,30,120,300,,M3,1,1,0,,,,M3,M3,F10,M5,F8,,
,,,,M4,,,,,BN4,,,,,,,M4,0,0,20,100,250,,M4,1,1,0,,,,F6,F10,BN,F8,F7,,
,,,,M5,,,,,,,,,,,,M5,0,0,20,100,250,,M5,1,1,0,,,,BN,WD,F6,RP2,F7,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,40,100,,F6,1,0,0,,,,F8,F7,F6,RP2,M4,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,40,100,,F7,1,0,0,,,,M1,M1,M5,RP2,F10,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,40,100,,F8,1,0,0,,,,F9,F10,WD,F10,RP1,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,40,100,,F9,1,0,0,,,,F8,F10,M3,M4,RP1,,
,,,,F10,,,,,,,,,,,,F10,0,0,5,40,100,,F10,1,0,0,,,,M2,M3,F7,F8,RP3,,
,,,,,,,,,,,,,,,,,,,,,,,BN1,0,0,18,,,,F6,F9,F7,F6,F8,,
,,,,,,,,,,,,,,,,,,,,,,,BN2,0,0,12,,,,F10,RP1,BN,F6,F8,,
,,,,,,,,,,,,,,,,,,,,,,,BN3,0,0,6,,,,BN,RP1,F10,M3,M4,,
,,,,,,,,,,,,,,,,,,,,,,,BN4,0,0,25,,,,F8,M3,RP1,M1,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,RP1,WD,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,F8,F7,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP2,BN,F7,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP2,F7,M2,M3,,
