screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,5,,FALSE,,F7,F10,F6,M4,F10,,gots000
,,,,M1,,,,,BN1,,,,,RP2,,M1,0,0,50,150,300,,M1,1,3,,,,F8,M2,M4,F6,M2,,do not remove this last column
,,,,M2,,,,,BN2,,,,,,,M2,0,0,40,100,250,,M2,1,1,,,,M5,F7,M2,F9,M4,,
,,,,M3,,,,,BN3,,,,,,,M3,0,0,30,80,200,,M3,1,1,,,,M3,M3,F10,M5,F7,,
,,,,M4,,,,,BN4,,,,,,,M4,0,0,20,80,150,,M4,1,1,,,,F6,F10,F8,F8,F8,,
,,,,M5,,,,,,,,,,,,M5,0,0,20,80,150,,M5,1,1,,,,F7,WD,F6,RP2,F6,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,25,80,,F6,1,0,,,,M1,F7,M5,RP2,M4,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,25,80,,F7,1,0,,,,F9,M1,WD,RP2,F10,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,25,80,,F8,1,0,,,,F8,F10,M3,F10,RP1,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,25,80,,F9,1,0,,,,M2,F9,F7,F6,RP1,,
,,,,F10,,,,,,,,,,,,F10,0,0,5,25,80,,F10,1,0,,,,F6,M3,F7,M4,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,F10,F9,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,RP1,F6,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP1,RP1,M3,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M3,F8,M1,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F7,WD,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,RP2,F7,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP2,RP2,M5,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP2,RP2,M2,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP2,F7,M3,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M1,F8,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F9,F7,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,WD,M5,WD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,F8,F10,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,M4,M2,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,F10,F6,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F8,M4,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,F9,F10,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,M5,M3,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,WD,F7,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M5,M3,F9,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F10,F10,WD,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,F9,F7,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,M4,M4,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,F10,F10,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,WD,M3,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,F7,F8,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F9,F6,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,F6,M2,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,M2,F8,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M5,RP1,WD,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,RP1,M5,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,RP1,F9,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,M1,M1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,WD,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M3,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M4,F8,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,F8,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F9,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,RP2,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP2,M5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP2,RP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,RP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M1,RP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,WD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,
