screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
33333,,50 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,,FALSE,,F9,M3,M2,M2,F5,1,1,1,1,1,,TRUE,,BL,W1X,W1X,W1X,BL,1,1,2,2,1,,gots000
,,,,M1,,W1X,1,,,,,,,,,M1,0,0,60,200,600,,M1,2,,,,F5,RP1,F10,F6,F7,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,2,2,,,do not remove this last column
,,,,M2,,W2,2,,,,,,,,,M2,0,0,40,150,500,,M2,2,,,,F5,RP1,M1,F7,M4,1,1,1,1,1,,,,,W2,W2,W2,,,0,0,0,,,
,,,,M3,,W3,3,,,,,,,,,M3,0,0,30,100,400,,M3,2,,,,F10,RP1,F9,M4,M3,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,M4,,,,,,,,,,,,M4,0,0,30,100,400,,M4,2,,,,F8,F10,M4,F8,F8,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,F5,,,,,,,,,,,,M5,0,0,20,80,200,,F5,3,,,,M4,F10,F7,F8,RP1,1,1,1,1,1,,,,,W1X,W2,W2,,,1,1,1,,,
,,,,F6,,,,,,,,,,,,F6,0,0,20,80,200,,F6,3,,,,F5,WD,F10,F7,RP1,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,50,100,,F7,3,,,,M2,F5,WD,M4,RP1,1,1,1,1,1,,,,,W2,W1X,W1X,,,1,1,1,,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,50,100,,F8,3,,,,F7,F7,F5,F10,F5,1,1,1,1,1,,,,,W2,W1X,W1X,,,1,2,2,,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,50,100,,F9,3,,,,F7,F8,M2,RP1,M4,1,1,1,1,1,,,,,W2,W2,W2,,,2,1,1,,,
,,,,F10,,,,,,,,,,,,F10,0,0,10,50,100,,F10,3,,,,BN,M4,M3,RP1,F10,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M4,F6,RP1,BN,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F9,F6,F9,1,1,1,1,1,,,,,W1X,W1X,W1X,,,2,2,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,F9,F6,M1,1,1,1,1,1,,,,,W3,W3,W3,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,RP1,M2,F7,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,RP1,F9,F5,1,1,1,1,1,,,,,W3,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,RP1,F9,F10,1,1,1,1,1,,,,,W3,W1X,W1X,,,1,3,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,M1,WD,M2,1,1,1,1,1,,,,,W3,W3,W3,,,2,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M2,F9,F8,F6,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,WD,F7,F5,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,F5,F10,F8,1,1,1,1,1,,,,,W1X,W3,W3,,,1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,M4,F5,M4,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,M3,F9,F10,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F5,F7,F8,BN,1,1,1,1,1,,,,,W2,W2,W2,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F5,F9,F10,F7,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,RP1,F5,F7,1,1,1,1,1,,,,,W1X,W1X,W1X,,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,RP1,F5,M1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,RP1,F9,M1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,RP1,F9,M3,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,RP1,M1,F10,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M3,RP1,M1,M2,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,F10,M2,F6,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,M3,F5,F8,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F7,F7,F9,F8,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,F7,M3,M3,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F9,F7,M1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F8,M4,M1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,WD,M4,F10,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,F6,F8,F9,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M2,M4,F8,F10,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F9,F6,F9,M2,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F8,F9,F6,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,WD,RP1,M3,F5,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,RP1,RP1,RP1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,RP1,RP1,RP1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F9,RP1,RP1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,M4,F7,RP1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,F10,M3,M4,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,M1,F10,F6,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F7,F7,F6,BN,,1,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M3,M2,F6,F7,,1,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F10,M3,M2,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M1,F9,F7,F9,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F5,WD,F8,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M3,F10,M2,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,F8,F10,M2,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,F8,F7,M3,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F5,M2,F6,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,RP1,M3,F7,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,RP1,F10,M4,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,RP1,F8,F9,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,F9,RP1,M1,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F5,F6,RP1,F8,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M2,M4,RP1,F6,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,F10,F6,BN,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F7,F6,F9,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,M2,M4,F9,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F8,M1,F5,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,M3,F10,F10,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F6,F5,M3,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
