screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,WD,0,0,0,0,0,,WD,0,1,0,0,0,0,0,,FALSE,,F9,F9,M3,F9,M3,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,40,,RP2,,M1,0,0,50,200,500,,M1,1,1,0,0,0,0,0,,,,F7,M4,M3,F9,M4,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,50,,RP3,,M2,0,0,40,150,400,,M2,1,1,0,0,0,0,0,,,,RP6,M4,F9,F5,F6,,,,,,,
,,,,M3,,,,,,,SC4,75,,RP4,,M3,0,0,30,100,300,,M3,1,1,0,0,0,0,0,,,,RP7,F6,WD,RP6,BN,,,,,,,
,,,,M4,,,,,,,SC5,100,,RP5,,M4,0,0,20,80,200,,M4,1,1,0,0,0,0,0,,,,F6,M3,F5,F5,F9,,,,,,,
,,,,F5,,,,,,,SC6,200,,RP6,,F5,0,0,10,50,100,,F5,1,0,0,0,0,0,0,,,,F7,F7,F7,M2,F6,,,,,,,
,,,,F6,,,,,,,SC7,300,,RP7,,F6,0,0,10,50,100,,F6,1,0,0,0,0,0,0,,,,F9,F9,BN,M2,WD,,,,,,,
,,,,F7,,,,,,,SC8,500,,,,F7,0,0,10,50,100,,F7,1,0,0,0,0,0,0,,,,M1,WD,F5,WD,F5,,,,,,,
,,,,F8,,,,,,,SC9,800,,,,F8,0,0,10,50,100,,F8,1,0,0,0,0,0,0,,,,M1,M2,F8,M1,M4,,,,,,,
,,,,F9,,,,,,,SC10,1000,,,,F9,0,0,10,50,100,,F9,1,0,0,0,0,0,0,,,,F9,M2,F9,F5,F6,,,,,,,
,,,,F10,,,,,,,SC11,2500,,,,F10,0,0,0,0,0,,F10,0,0,0,0,0,0,0,,,,F8,F5,RP2,F5,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC1,0,0,0,0,0,0,0,,,,BN,F5,RP2,M4,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,0,0,0,0,0,,,,F9,RP2,RP2,M4,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,92,92,92,92,92,,,,M4,RP2,M4,F7,RP6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,500,500,500,500,500,,,,F8,RP2,F6,F7,RP6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC5,0,0,250,250,250,250,250,,,,RP7,F6,F8,RP6,RP6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC6,0,0,100,100,100,100,100,,,,M3,F7,BN,RP4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC7,0,0,50,50,50,50,50,,,,M2,F7,F7,F7,F7,,,,,,,
