screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
33333,,15,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,WD,0,0,0,0,0,,SC1,0,0,0,0,0,0,0,0,0,0,,,TRUE,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,gots000
,,,,,,M1,,,,,,,SC2,40,,RP2,,M1,0,0,75,250,500,,SC2,0,0,0,0,0,0,0,0,0,0,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,do not remove this last column
,,,,,,M2,,,,,,,SC3,50,,RP3,,M2,0,0,50,200,400,,SC3,0,0,0,0,0,0,0,0,0,0,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,M3,,,,,,,SC4,75,,RP4,,M3,0,0,30,150,300,,SC4,0,0,0,0,0,0,0,0,0,0,,,,,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,RP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,M4,,,,,,,SC5,100,,RP5,,M4,0,0,20,100,200,,SC5,50,50,50,50,50,50,50,50,50,50,,,,,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,RP2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,F5,,,,,,,SC6,200,,RP6,,F5,0,0,10,50,100,,SC6,62,62,62,62,62,62,62,62,62,62,,,,,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,RP3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,F6,,,,,,,SC7,300,,RP7,,F6,0,0,10,50,100,,SC7,20,20,20,20,20,20,20,20,20,20,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,F7,,,,,,,SC8,500,,RP8,,F7,0,0,10,50,100,,SC8,15,15,15,15,15,15,15,15,15,15,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,F8,,,,,,,SC9,800,,RP9,,F8,0,0,10,50,100,,SC9,10,10,10,10,10,10,10,10,10,10,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,F9,,,,,,,SC10,1000,,RP10,,F9,0,0,10,50,100,,SC10,7,7,7,7,7,7,7,7,7,7,,,,,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,RP4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
