screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
33333,,15,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,,,,,,,,,,,,,,,WD,0,0,0,0,0,,SC1,1,10,10,10,10,10,10,10,10,10,0,0,0,0,,TRUE,,RP11,BL,BL,BL,RP3,BL,BL,BL,RP3,RP3,BL,BL,RP1,BL,BL,1,8,30,18,1,17,4,8,1,1,3,6,1,1,1,,gots000
,,,,,,M1,,,,,,,SC2,50,,RP2,,,,,,,,,,,,,,,,M1,0,0,75,250,500,,SC2,1,10,10,10,10,10,10,10,10,10,0,0,0,0,,,,RP12,BL,RP11,RP3,BL,RP1,RP1,RP3,BL,BL,RP1,RP3,BL,BL,RP2,1,8,1,1,30,1,1,1,6,5,1,1,1,1,5,,do not remove this last column
,,,,,,M2,,,,,,,SC3,75,,RP3,,,,,,,,,,,,,,,,M2,0,0,50,200,400,,SC3,1,10,10,10,10,10,10,10,10,10,0,0,0,0,,,,BL,RP11,RP12,RP1,RP1,BL,BL,RP1,RP1,RP1,BL,RP1,BL,RP2,BL,30,1,1,1,1,17,4,1,1,1,3,1,1,5,1,,
,,,,,,M3,,,,,,,SC4,100,,RP4,,,,,,,,,,,,,,,,M3,0,0,30,150,300,,SC4,1,50,50,20,20,20,20,20,20,20,80,80,80,0,,,,BL,RP12,BL,RP2,BL,BL,BL,RP2,BL,BL,BL,RP2,RP2,BL,BL,30,1,30,1,30,17,4,1,6,5,3,1,5,1,1,,
,,,,,,M4,,,,,,,SC5,150,,RP5,,,,,,,,,,,,,,,,M4,0,0,20,100,200,,SC5,2,50,50,50,50,50,50,50,50,50,10,10,10,0,,,,RP13,BL,RP13,BL,BL,RP2,RP2,BL,BL,BL,RP2,BL,BL,BL,RP3,1,8,1,18,30,1,1,8,6,5,1,6,1,1,5,,
,,,,,,F5,,,,,,,SC6,200,,RP6,,,,,,,,,,,,,,,,F5,0,0,10,50,100,,SC6,2,40,40,50,50,50,50,50,50,50,10,10,10,0,,,,BL,RP13,RP14,RP3,RP2,RP5,RP5,RP3,RP2,RP2,RP5,RP3,BL,RP3,BL,30,1,1,1,1,1,1,1,1,1,1,1,1,5,1,,
,,,,,,F6,,,,,,,SC7,300,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,50,100,,SC7,1,20,20,20,20,20,20,20,20,20,10,10,10,0,,,,RP14,RP14,BL,RP5,RP5,BL,BL,RP5,RP5,RP5,BL,RP5,RP3,BL,BL,1,1,30,1,1,17,4,1,1,1,3,1,5,1,1,,
,,,,,,F7,,,,,,,SC8,400,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,50,100,,SC8,1,10,10,10,10,10,10,10,10,10,20,20,20,0,,,,BL,BL,RP11,RP4,BL,RP4,RP4,RP4,BL,BL,RP4,RP4,BL,BL,RP4,30,8,1,1,30,1,1,1,6,6,1,1,1,1,5,,
,,,,,,F8,,,,,,,SC9,500,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,50,100,,SC9,1,10,10,10,10,10,10,10,10,10,20,20,20,1,,,,BL,RP11,RP12,BL,RP4,BL,BL,BL,RP4,RP4,BL,BL,BL,RP4,BL,30,1,1,18,1,17,4,8,1,1,3,6,1,5,1,,
,,,,,,F9,,,,,,,SC10,800,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,50,100,,SC10,1,5,5,5,5,5,5,5,5,5,20,20,20,1,,,,RP12,RP12,BL,RP8,BL,BL,BL,RP8,BL,BL,BL,RP8,RP4,BL,BL,1,1,30,1,30,17,4,1,7,5,3,1,5,1,1,,
,,,,,,F10,,,,,,,SC11,1000,,RP11,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,SC11,1,1,1,1,1,1,1,1,1,1,10,10,10,1,,,,RP11,BL,RP14,BL,BL,RP8,RP8,BL,BL,BL,RP8,BL,BL,BL,RP5,1,8,1,18,30,1,1,8,7,6,1,6,1,1,5,,
,,,,,,,,,,,,,SC12,2000,,RP12,,,,,,,,,,,,,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP14,RP14,RP13,BL,RP8,RP6,RP6,BL,RP8,RP8,RP6,BL,BL,RP5,BL,1,1,1,18,1,1,1,8,1,1,1,6,1,5,1,,
,,,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP13,RP13,RP6,RP6,BL,BL,RP6,RP6,RP6,BL,RP6,RP5,BL,BL,30,1,1,1,1,17,4,1,1,1,3,1,5,1,1,,
,,,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP13,BL,RP5,BL,RP7,RP7,RP5,BL,BL,RP7,RP5,BL,BL,RP6,30,1,30,1,30,1,1,1,6,6,1,1,1,1,5,,
