screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,WD,0,0,0,0,0,,SC1,10,10,10,0,0,0,0,0,0,0,,FALSE,,F9,M2,M3,F5,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,50,,RP2,,M1,0,0,100,250,800,,SC2,20,20,20,0,0,0,0,0,0,0,,,,F7,M4,M4,M3,F8,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,75,,RP3,,M2,0,0,50,200,600,,SC3,8,8,8,5,5,5,5,0,0,0,,,,M4,RP2,RP6,RP6,M3,,,,,,,
,,,,M3,,,,,,,SC4,100,,RP4,,M3,0,0,40,150,500,,SC4,8,8,8,20,20,20,20,0,0,0,,,,M1,F5,RP5,F8,F9,,,,,,,
,,,,M4,,,,,,,SC5,200,,RP5,,M4,0,0,20,100,400,,SC5,4,4,4,8,8,8,8,0,0,0,,,,F5,M3,F5,RP5,BN,,,,,,,
,,,,F5,,,,,,,SC6,300,,RP6,,F5,0,0,5,50,100,,SC6,2,2,2,4,4,4,4,0,0,0,,,,M3,F6,F5,F6,F5,,,,,,,
,,,,F6,,,,,,,SC7,400,,RP7,,F6,0,0,5,50,100,,SC7,0,0,0,3,3,3,3,14,14,14,,,,RP1,F8,WD,M2,F8,,,,,,,
,,,,F7,,,,,,,SC8,500,,RP8,,F7,0,0,5,50,100,,SC8,0,0,0,2,2,2,2,14,14,14,,,,F6,RP1,M2,M2,M2,,,,,,,
,,,,F8,,,,,,,SC9,800,,RP9,,F8,0,0,5,50,100,,SC9,0,0,0,0,0,0,0,5,5,5,,,,F5,F5,M3,M3,F5,,,,,,,
,,,,F9,,,,,,,SC10,1000,,RP10,,F9,0,0,5,50,100,,SC10,0,0,0,0,0,0,0,5,5,5,,,,BN,F7,M1,F6,WD,,,,,,,
,,,,F10,,,,,,,SC11,2000,,,,F10,0,0,0,0,0,,SC11,0,0,0,0,0,0,0,1,1,1,,,,F5,F9,F7,F7,F8,,,,,,,
,,,,,,,,,,,SC12,3000,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,,,,M4,M3,RP4,RP5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,M1,F6,RP5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F6,F9,RP9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,BN,F6,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,F7,WD,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F5,F7,M3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F5,RP7,F5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP3,RP7,F5,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,F6,M4,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,M4,RP6,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,M2,RP6,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,F5,F6,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,RP6,F5,F8,,,,,,,
