screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,,mystery,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
34444,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,TR,0,FALSE,FALSE,1,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,FALSE,,M5,M4,F10,F9,RP1,1,1,1,1,1,,TRUE,,BL,M4,BL,BL,BL,1,0,1,1,1,,gots000
,,,,M1,,,,,,,SC2,200,,RP2,,SC-mini,0,FALSE,FALSE,1,TRUE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,50,150,400,,M1,200,0,0,0,0,0,0,0,0,0,0,0,0,,49,,,,M4,M5,RP1,RP2,F7,,,,,,,,,,M5,,,,,0,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,300,,RP3,,SC-minor,1,FALSE,FALSE,1,TRUE,3000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,40,120,300,,M2,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F8,F9,RP1,F9,WD,,,,,,,,,,F9,,,,,0,,,,,
,,,,M3,,,,,,,SC4,400,,RP4,,SC-major,2,FALSE,FALSE,1,TRUE,30000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M3,0,0,30,100,250,,M3,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F7,F6,F8,F9,F7,,,,,,,,,,F6,,,,,0,,,,,
,,,,M4,,,,,,,SC5,500,,RP5,,,,,,,,,,,,,,,,M4,0,0,20,80,200,,M4,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M1,F9,M5,F9,F8,,,,,,,,,,F9,,,,,0,,,,,
,,,,M5,,,,,,,SC8,800,,RP6,,,,,,,,,,,,,,,,M5,0,0,15,50,150,,M5,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F10,F6,F9,WD,RP1,,,,,,,,,,F6,,,,,0,,,,,
,,,,F6,,,,,,,SC10,1000,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,40,100,,F6,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M2,M3,F8,F7,WD,,,,,,,,,,M3,,,,,0,,,,,
,,,,F7,,,,,,,SC25,2500,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,40,100,,F7,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,TR,F7,F6,F9,F9,,,,,,,,,,F7,,,,,0,,,,,
,,,,F8,,,,,,,,,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,40,100,,F8,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,TR,M5,M3,M1,F7,,,,,,,,,,M5,,,,,0,,,,,
,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,40,100,,F9,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,TR,F9,WD,F6,M4,,,,,,,,,,F9,,,,,0,,,,,
,,,,F10,,,,,,,,,,RP11,,,,,,,,,,,,,,,,F10,0,0,10,40,100,,F10,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F10,F7,F8,M3,F7,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,RP12,,,,,,,,,,,,,,,,,,,,,,,SC1,50,50,50,50,50,50,400,0,0,0,0,0,0,,,,,,M2,F9,F9,F7,M4,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,SC2,50,50,50,50,50,50,0,0,0,0,0,0,0,,,,,,M1,F9,F9,M3,F8,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC3,45,45,45,45,45,45,0,0,0,0,0,0,0,,,,,,M2,M5,M1,F7,RP6,,,,,,,,,,M5,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC4,45,45,45,45,45,45,0,8,8,8,0,0,0,,,,,,F10,WD,M2,F8,RP7,,,,,,,,,,WD,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5,30,30,30,30,30,30,0,4,4,4,0,0,0,,,,,,F7,F10,RP5,F9,F7,,,,,,,,,,F10,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,10,10,10,10,10,10,0,1,1,1,8,8,8,,,,,,F6,F7,M5,F6,M4,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10,5,5,5,5,5,5,0,0,0,0,8,8,8,,,,,,M3,F9,F10,M1,M5,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F7,F9,F9,F6,RP1,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-mini,0,0,0,0,0,0,200,0,0,0,0,0,0,,,,,,F10,F8,M2,M3,F9,,,,,,,,,,F8,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-minor,0,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,F7,M1,WD,F7,F9,,,,,,,,,,M1,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-major,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,M5,F7,F8,WD,F7,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F10,F6,M4,,,,,,,,,,F6,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,RP1,M1,WD,,,,,,,,,,M3,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,RP1,F6,M4,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M3,RP1,M3,F7,,,,,,,,,,M3,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F7,WD,M4,,,,,,,,,,F6,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F10,F10,F6,F8,,,,,,,,,,F10,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP3,F6,M3,RP1,,,,,,,,,,RP3,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,M3,F7,M1,,,,,,,,,,M1,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F7,,,,,,,,,,,,F6,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,WD,,,,,,,,,,,,M3,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M5,M3,,,,,,,,,,,,M5,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,F7,,,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,M5,,,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F6,F7,,,,,,,,,,,,F6,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR,F8,F9,,,,,,,,,,,,F8,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR,F7,F9,,,,,,,,,,,,F7,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR,F8,M5,,,,,,,,,,,,F8,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,M2,,,,,,,,,,,,M3,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,,,,,,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F10,,,,,,,,,,,,,F10,,,,,0,,,,,
