screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,sc table 1,sc table 2,sc table 3,sc table 4,sc table 5,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,SC,0,FALSE,FALSE,1,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,,75,500,1,1,1,,FALSE,,F9,F10,F8,F10,F10,,gots000
,,,,M1,,,,,,,,,,,,,,,,,,,,,,,,,,M1,0,0,50,250,500,,M1,1,,9925,9500,0,0,0,,,,M4,M1,M1,F6,F6,,do not remove this last column
,,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,M2,0,0,30,150,300,,M2,3,,,,,,,,,,F10,M1,M3,M1,M1,,
,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,M3,0,0,25,100,200,,M3,3,,,,,,,,,,M1,RP1,RP1,M2,F8,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,15,75,150,,M4,2,,,,,,,,,,M1,M5,F6,M4,M2,,
,,,,M5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,15,75,150,,M5,2,,,,,,,,,,M1,F7,F8,M3,F9,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,5,25,75,,F6,2,,,,,,,,,,F7,WD,F10,M3,SC,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,25,75,,F7,2,,,,,,,,,,M3,F6,F10,F6,M3,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,25,75,,F8,2,,,,,,,,,,F9,M5,F9,F8,M3,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,25,75,,F9,2,,,,,,,,,,SC,RP1,SC,M2,RP1,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,25,75,,F10,2,,,,,,,,,,F7,M2,F10,F8,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,F6,M1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,M3,M5,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F8,M5,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M5,WD,F7,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP1,F7,F8,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F6,WD,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,M3,F10,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,M4,F10,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,M4,M1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,F10,M1,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F10,F6,M1,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,M5,F7,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F8,WD,F7,M1,,
