screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,,wheel weights,,pointer wheel,pointer wheel weights,,wheel 1,index,value,multiplier,bonus,bonus index,trigger,progressive symbol,progressive index,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
44444,,ways,,WD,,WD,1,,BN,,SC2,20,,RP1,,,WD,0,0,0,0,0,,WD,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,0,1,,jeor Mormont Jackpot,0,25000,1,FALSE,-1,FALSE,FALSE,-1,,FALSE,,F8,F8,F9,F9,F10,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC3,25,,RP2,,,M1,0,0,75,200,500,,M1,1,0,0,0,0,0,0,0,0,0,0,0,0,,300,,0,1,,coins,1,180,1,FALSE,-1,FALSE,FALSE,-1,,,,F6,M1,M2,M3,M2,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,SC4,40,,RP3,,,M2,0,0,50,150,300,,M2,1,0,0,0,0,0,0,0,0,0,0,0,0,,45,,0,1,,coins,2,335,1,FALSE,-1,FALSE,FALSE,-1,,,,F10,F9,F9,F6,F6,1,1,1,1,1,,
,,,,M3,,,,,,,SC5,50,,RP4,,,M3,0,0,30,100,200,,M3,1,0,0,0,0,0,0,0,0,0,0,0,0,,45,,0,1,,Sam Jackpot,3,1250,1,FALSE,-1,FALSE,FALSE,-1,,,,RP3,RP6,RP8,RP7,RP13,1,1,1,1,1,,
,,,,M4,,,,,,,SC6,80,,RP5,,,M4,0,0,30,100,200,,M4,1,0,0,0,0,0,0,0,0,0,0,0,0,,200,,1,1,,coins,4,175,1,FALSE,-1,FALSE,FALSE,-1,,,,F7,F7,F6,F8,RP13,1,1,1,1,1,,
,,,,M5,,,,,,,SC7,100,,RP6,,,M5,0,0,30,100,200,,M5,1,0,0,0,0,0,0,0,0,0,0,0,0,,22,,1,1,,coins,5,245,1,FALSE,-1,FALSE,FALSE,-1,,,,M2,M3,M1,F9,RP13,1,1,1,1,1,,
,,,,F6,,,,,,,SC8,150,,RP7,,,F6,0,0,10,25,75,,F6,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,,1,1,,Jon Snow Jackpot,6,2000,1,FALSE,-1,FALSE,FALSE,-1,,,,F10,M4,F7,M1,F8,1,1,1,1,1,,
,,,,F7,,,,,,,SC9,200,,RP8,,,F7,0,0,10,25,75,,F7,0,0,0,0,0,0,0,0,0,0,0,0,0,,200,,1,1,,coins,7,155,1,FALSE,-1,FALSE,FALSE,-1,,,,M5,M4,M4,M2,F8,1,1,1,1,1,,
,,,,F8,,,,,,,SC10,400,,RP9,,,F8,0,0,10,25,75,,F8,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,,2,1,,coins,8,215,1,FALSE,-1,FALSE,FALSE,-1,,,,F9,F7,F8,F10,M4,1,1,1,1,1,,
,,,,F9,,,,,,,,,,RP10,,,F9,0,0,10,25,75,,F9,0,0,0,0,0,0,0,0,0,0,0,0,0,,100,,2,1,,Edd Jackpot,9,800,1,FALSE,-1,FALSE,FALSE,-1,,,,F9,F7,BN,F6,F6,1,1,1,1,1,,
