screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
44444,,ways,,WD,,WD,1,,BN,,SC2,20,,RP1,,SC,0,FALSE,FALSE,1,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,1,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,M4,F10,F10,F10,F10,,gots000
,,,,M1,,,,,,,SC3,25,,RP2,,SC1,1,FALSE,FALSE,1,TRUE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,M1,0,0,75,200,500,,M1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,F9,F9,M3,F6,F8,,do not remove this last column
,,,,M2,,,,,,,SC4,40,,RP3,,,,,,,,,,,,,,,,M2,0,0,50,150,300,,M2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,SC,SC,F6,SC,SC,,
,,,,M3,,,,,,,SC5,50,,RP4,,,,,,,,,,,,,,,,M3,0,0,30,100,200,,M3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,SC,SC,F10,SC,SC,,
,,,,M4,,,,,,,SC6,80,,RP5,,,,,,,,,,,,,,,,M4,0,0,30,100,200,,M4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,SC,F8,M1,F10,SC,,
,,,,M5,,,,,,,SC7,100,,RP6,,,,,,,,,,,,,,,,M5,0,0,30,100,200,,M5,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,F9,M2,F8,M4,F6,,
,,,,F6,,,,,,,SC8,150,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,25,75,,F6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M2,F7,M4,F7,M2,,
,,,,F7,,,,,,,SC9,200,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,25,75,,F7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F8,M1,F7,M1,F7,,
,,,,F8,,,,,,,SC10,400,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,25,75,,F8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F6,M1,F9,F6,M1,,
,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,25,75,,F9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F10,F10,SC1,M5,F10,,
,,,,F10,,,,,,,,,,RP11,,,,,,,,,,,,,,,,F10,0,0,10,25,75,,F10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M2,F9,F10,M2,M1,,
,,,,,,,,,,,,,,RP12,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,60,60,60,60,60,60,60,60,60,60,60,,,,F8,M5,F9,F8,F6,,
,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,45,45,45,45,45,45,45,45,45,45,45,,,,M5,M4,M1,M5,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,45,45,45,45,45,45,45,45,45,45,45,,,,F10,M3,M5,F7,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5,0,0,40,40,40,40,40,40,40,40,40,40,40,,,,M5,F8,F7,M1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC6,0,0,30,30,30,30,30,30,30,30,30,30,30,,,,F9,WD,M2,F6,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC7,0,0,10,10,10,10,10,10,10,10,10,10,10,,,,M1,F6,F7,F6,SC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,8,8,8,8,8,8,8,8,8,8,8,,,,F9,M2,SC1,WD,F9,,
