screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC,0,,RP1,,WD,0,0,0,0,0,,WD,0,1,,FALSE,,F9,M2,M3,M3,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,,,,RP2,,M1,0,0,50,200,500,,M1,4,1,,,,M5,F8,F9,M5,F8,,,,,,,do not remove this last column
,,,,M2,,,,,,,,,,,,M2,0,0,30,150,300,,M2,4,1,,,,M4,M4,M1,M1,BN,,,,,,,
,,,,M3,,,,,,,,,,,,M3,0,0,25,125,250,,M3,4,1,,,,M1,F9,F6,F8,F7,,,,,,,
,,,,M4,,,,,,,,,,,,M4,0,0,20,100,200,,M4,4,0,,,,M3,M3,BN,M4,M4,,,,,,,
,,,,M5,,,,,,,,,,,,M5,0,0,20,100,200,,M5,4,0,,,,F8,SC,F9,F6,M5,,,,,,,
,,,,F6,,,,,,,,,,,,F6,0,0,15,75,150,,F6,1,0,,,,BN,M2,M2,M2,M1,,,,,,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,40,100,,F7,1,0,,,,F6,SC,F7,F7,M2,,,,,,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,40,100,,F8,1,0,,,,F7,F7,WD,M3,RP1,,,,,,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,40,100,,F9,1,0,,,,F9,RP1,M3,F6,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M5,RP1,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F7,M5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,RP1,M1,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M2,F9,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F6,F7,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,BN,M3,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,F8,M3,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M5,F9,RP1,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F6,SC,F8,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M4,M3,M4,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,M2,F6,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,WD,F6,M2,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,WD,F7,WD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,M4,M1,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M1,F7,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,M1,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,SC,M4,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M5,SC,F6,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M2,F8,M2,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,M3,M2,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F9,F6,F7,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,BN,WD,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F6,F8,F8,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,F7,M4,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F7,M2,SC,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M2,RP1,SC,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,M5,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,M4,M4,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M3,F7,F9,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,BN,M3,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F8,F9,M5,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,SC,M1,M2,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,SC,M1,SC,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,M3,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,WD,F8,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M4,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,SC,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M2,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,RP1,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M5,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP1,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F8,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M3,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F9,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,SC,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M3,,,,,,,,,
