screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC,0,,RP1,,WD,0,0,0,0,0,,W2,40,40,40,40,,FALSE,,F6,M2,M3,M3,M2,1,1,1,1,1,,gots000
,,,,M1,,W2,2,,,,,,,RP2,,M1,0,0,50,200,500,,W3,10,10,10,10,,,,SC,RP1,F6,F8,M1,,,,,,,do not remove this last column
,,,,M2,,W3,3,,,,,,,RP3,,M2,0,0,30,150,300,,W4,0,0,0,0,,,,SC,F9,SC,F8,M1,,,,,,,
,,,,M3,,W4,4,,,,,,,RP4,,M3,0,0,25,125,250,,W5,0,0,0,0,,,,SC,F7,SC,M2,M1,,,,,,,
,,,,M4,,W5,5,,,,,,,,,M4,0,0,20,100,200,,,,,,,,,,F8,M3,SC,M1,M4,,,,,,,
,,,,M5,,,,,,,,,,,,M5,0,0,20,100,200,,,,,,,,,,M3,SC,F6,F7,M5,,,,,,,
,,,,F6,,,,,,,,,,,,F6,0,0,15,75,150,,,,,,,,,,M1,F6,M5,F9,F6,,,,,,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,40,100,,,,,,,,,,F6,SC,M2,M3,M2,,,,,,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,40,100,,,,,,,,,,M5,F9,M1,F8,M5,,,,,,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,40,100,,,,,,,,,,F7,M3,M3,F7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,F9,M2,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,RP2,M1,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M5,F7,F7,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,M3,F6,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,M1,F8,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,M1,M1,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,M2,M3,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M5,F6,M5,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M1,SC,M4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M4,M4,F8,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,M2,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,SC,F7,M2,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,RP2,F9,RP4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M4,M1,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F7,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,M1,M5,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,F6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,SC,SC,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M5,SC,SC,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M2,M5,M2,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F6,M4,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F8,F9,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F7,RP2,RP3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,SC,M2,F8,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,SC,F9,M4,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,F6,SC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,SC,SC,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,SC,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M3,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M5,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,RP2,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F6,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M4,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,SC,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F6,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,SC,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M5,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,,,,,,,,
