screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,mutator values,weights rp1,,pickem 6,pickem 7,pickem 8,pickem 9,pickem 10,pickem 11,pickem 12,pickem 13,pickem 14,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
33333,,15,,ways,,WD,,WD,1,,BN,,SC,0,,RP1,,SC,1,,0,0,0,0,0,0,0,0,0,,TRUE,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,gots000
,,,,,,M1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,44,20,44,5,44,5,5,5,5,,do not remove this last column
,,,,,,M2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,4,4,4,4,4,4,43,16,43,4,43,4,4,4,4,,
,,,,,,M3,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,M4,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,
,,,,,,F5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,
,,,,,,F6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,F7,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,
,,,,,,F8,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,44,20,44,5,44,5,5,5,5,,
,,,,,,F9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,4,4,4,4,4,4,43,16,43,4,43,4,4,4,4,,
,,,,,,F10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,5,5,5,5,5,5,43,20,43,5,43,5,5,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
