screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,wild num,wild yes,wild no,,small wheel values,small wheel weights,medium wheel values,medium wheel weights,big wheel values,big wheel weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,,,,game
44444,,50 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,100,200,800,,WD,0,0,,1,1,99,,2,20,3,10,5,8,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,,gots000
,,,,M1,,,,,,,,,,RP2,,M1,0,0,20,75,200,,M1,1,1,,2,1,99,,7,1,10,1,15,1,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,,do not remove this last column
,,,,M2,,,,,,,,,,,,M2,0,0,15,60,150,,M2,1,1,,3,1,99,,3,10,4,10,7,8,,,,M3,M1,F8,F6,F8,1,1,1,1,1,,,,M3,M1,F8,F6,F8,1,1,1,1,1,,,,M3,M1,F8,F6,F8,1,1,1,1,1,,,,M3,M1,F8,F6,F8,1,1,1,1,1,,,,,
,,,,M3,,,,,,,,,,,,M3,0,0,10,50,120,,M3,1,1,,4,1,99,,4,2,5,5,10,1,,,,M2,M4,F6,M5,BN,1,1,1,1,1,,,,M2,M4,F6,M5,BN,1,1,1,1,1,,,,M2,M4,F6,M5,F7,1,1,1,1,1,,,,M2,M4,F6,M5,F7,1,1,1,1,1,,,,,
,,,,M4,,,,,,,,,,,,M4,0,0,10,50,120,,M4,1,1,,5,25,75,,5,1,7,2,12,1,,,,F8,F7,WD,WD,F9,1,1,1,1,1,,,,F8,F7,WD,WD,F9,1,1,1,1,1,,,,F8,F7,WD,WD,F9,1,1,1,1,1,,,,F8,F7,WD,WD,F9,1,1,1,1,1,,,,,
,,,,M5,,,,,,,,,,,,M5,0,0,10,50,100,,M5,1,1,,6,50,50,,,,,,,,,,,F8,F7,WD,WD,M5,1,1,1,1,1,,,,F8,F7,WD,WD,M5,1,1,1,1,1,,,,F8,F7,WD,WD,M5,1,1,1,1,1,,,,F8,F7,WD,WD,M5,1,1,1,1,1,,,,,
,,,,F6,,,,,,,,,,,,F6,0,0,2,10,50,,F6,9,0,,7,60,40,,,,,,,,,,,BN,M5,WD,WD,M2,1,1,1,1,1,,,,BN,M5,WD,WD,M2,1,1,1,1,1,,,,BN,M5,WD,WD,M2,1,1,1,1,1,,,,BN,M5,WD,WD,M2,1,1,1,1,1,,,,,
,,,,F7,,,,,,,,,,,,F7,0,0,2,10,50,,F7,9,0,,8,100,0,,,,,,,,,,,F6,M2,WD,WD,M2,1,1,1,1,1,,,,F6,M2,WD,WD,M2,1,1,1,1,1,,,,F6,M2,WD,WD,M2,1,1,1,1,1,,,,F6,M2,WD,WD,M2,1,1,1,1,1,,,,,
,,,,F8,,,,,,,,,,,,F8,0,0,2,10,50,,F8,9,0,,,,,,,,,,,,,,,M5,F8,WD,WD,M2,1,1,1,1,1,,,,M5,F8,WD,WD,M2,1,1,1,1,1,,,,M5,F8,WD,WD,M2,1,1,1,1,1,,,,M5,F8,WD,WD,M2,1,1,1,1,1,,,,,
,,,,F9,,,,,,,,,,,,F9,0,0,2,10,50,,F9,9,0,,,,,,,,,,,,,,,F6,F8,WD,WD,F7,1,1,1,1,1,,,,F6,F8,WD,WD,F7,1,1,1,1,1,,,,F6,F8,WD,WD,F7,1,1,1,1,1,,,,F6,F8,WD,WD,F7,1,1,1,1,1,,,,,
