screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,,wild num,wild yes,wild no,wild yes small,wild no small,wild yes medium,wild no medium,wild yes big,wild no big,,wild mult weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,reels 6 weighted,,reels 6,reels 6,reels 6,reels 6,reels 6,weights,weights,weights,weights,weights,,reels 7 weighted,,reels 7,reels 7,reels 7,reels 7,reels 7,weights,weights,weights,weights,weights,,reels 8 weighted,,reels 8,reels 8,reels 8,reels 8,reels 8,weights,weights,weights,weights,weights,,reels 9 weighted,,reels 9,reels 9,reels 9,reels 9,reels 9,weights,weights,weights,weights,weights,,reels 10 weighted,,reels 10,reels 10,reels 10,reels 10,reels 10,weights,weights,weights,weights,weights,,reels 11 weighted,,reels 11,reels 11,reels 11,reels 11,reels 11,weights,weights,weights,weights,weights,,game
44444,,50 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,100,200,800,,WD,0,0,0,0,0,0,0,0,0,0,0,,1,25,75,25,75,25,75,25,75,,9,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,0,0,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,0,0,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,0,0,,FALSE,,F10,F10,F10,F10,F10,1,1,1,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,1,1,,TRUE,,F10,F10,F10,F10,F10,0,0,0,0,0,,gots000
,,,,M1,,W2,2,,,,,,,RP2,,M1,0,0,20,75,200,,M1,1,1,0,1,1,1,1,1,1,1,1,,2,25,75,25,75,25,75,25,75,,1,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,0,0,1,1,,,,F10,F10,F10,F10,F10,0,0,0,0,0,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,0,0,1,1,,,,F10,F10,F10,F10,F10,0,0,0,0,0,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,0,0,1,1,,,,F10,F10,F10,F10,F10,0,0,0,0,0,,,,F10,F10,F10,F10,F10,1,1,1,1,1,,,,F10,F10,F10,F10,F10,1,0,0,1,1,,,,F10,F10,F10,F10,F10,0,0,0,0,0,,do not remove this last column
,,,,M2,,W3,3,,,,,,,RP3,,M2,0,0,15,60,150,,M2,1,1,0,1,1,1,1,1,1,1,1,,3,25,75,25,75,25,75,25,75,,,,,,M3,M1,WD,F6,F8,1,1,1,1,1,,,,M3,M1,WD,F6,F8,1,0,1,1,1,,,,M3,M1,WD,F6,F8,1,0,1,0,1,,,,M3,M1,WD,F6,F8,1,1,1,1,1,,,,M3,M1,WD,F6,F8,1,0,1,1,1,,,,M3,M1,WD,F6,F8,1,1,1,0,1,,,,M3,M1,WD,F6,F8,1,1,1,1,1,,,,M3,M1,WD,F6,F8,1,0,1,1,1,,,,M3,M1,WD,F6,F8,1,1,1,0,1,,,,M3,M1,WD,F6,F8,1,1,1,1,1,,,,M3,M1,WD,F6,F8,1,0,1,1,1,,,,M3,M1,WD,F6,F8,1,1,1,0,1,,
,,,,M3,,,,,,,,,,RP4,,M3,0,0,10,50,120,,M3,1,1,0,1,1,1,1,1,1,1,1,,4,25,75,25,75,25,75,25,75,,,,,,M2,M4,F6,M5,M4,1,1,1,1,1,,,,M2,M4,F6,M5,M4,1,0,1,1,1,,,,M2,M4,F6,M5,M4,1,0,1,0,1,,,,M2,M4,F6,M5,M4,1,1,1,1,1,,,,M2,M4,F6,M5,M4,1,0,1,1,1,,,,M2,M4,F6,M5,M4,1,1,1,0,1,,,,M2,M4,F6,M5,M4,1,1,1,1,1,,,,M2,M4,F6,M5,M4,1,0,1,1,1,,,,M2,M4,F6,M5,M4,1,1,1,0,1,,,,M2,M4,F6,M5,M4,1,1,1,1,1,,,,M2,M4,F6,M5,M4,1,0,1,1,1,,,,M2,M4,F6,M5,M4,1,1,1,0,1,,
,,,,M4,,,,,,,,,,RP5,,M4,0,0,10,50,120,,M4,1,1,0,1,1,1,1,1,1,1,1,,5,25,75,25,75,25,75,25,75,,,,,,F8,WD,WD,WD,F9,1,1,1,1,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,1,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,1,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,1,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,,,F8,WD,WD,WD,F9,1,1,1,0,1,,
,,,,M5,,,,,,,,,,RP6,,M5,0,0,10,50,100,,M5,1,1,0,1,1,1,1,1,1,1,1,,6,25,75,25,75,25,75,25,75,,,,,,F8,F7,F8,WD,M5,1,1,1,1,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,1,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,1,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,1,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,,,F8,F7,F8,WD,M5,1,1,1,0,1,,
,,,,F6,,,,,,,,,,RP7,,F6,0,0,2,10,50,,F6,9,0,1,0,0,0,0,0,0,0,0,,7,50,50,50,50,50,50,50,50,,,,,,F9,WD,M5,WD,M2,1,1,1,1,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,1,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,1,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,1,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,,,F9,WD,M5,WD,M2,1,1,1,0,1,,
,,,,F7,,,,,,,,,,RP8,,F7,0,0,2,10,50,,F7,9,0,1,0,0,0,0,0,0,0,0,,8,100,0,100,0,100,0,100,0,,,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,0,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,0,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,0,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,,,F6,M2,M3,WD,M2,1,1,1,0,1,,,,F6,M2,M3,WD,M2,1,1,1,1,1,,
,,,,F8,,,,,,,,,,RP9,,F8,0,0,2,10,50,,F8,9,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,0,0,1,,,,M5,F8,M5,WD,M2,1,1,0,1,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,0,0,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,0,0,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,,,M5,F8,M5,WD,M2,1,1,0,0,1,,,,M5,F8,M5,WD,M2,1,1,1,1,1,,
,,,,F9,,,,,,,,,,RP10,,F9,0,0,2,10,50,,F9,9,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,0,0,1,,,,F6,F8,F7,WD,F7,1,1,0,1,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,0,0,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,0,0,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,,,F6,F8,F7,WD,F7,1,1,0,0,1,,,,F6,F8,F7,WD,F7,1,1,1,1,1,,
