screen size,mixed pays,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,,reels 0 weighted,,reels 0,reels 0,reels 0,weights,weights,weights,,game
333,TRUE,9 lines 333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD-3A,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,500,,SC1,40,40,40,40,40,40,40,40,40,40,40,40,40,,FALSE,,BL,BL,BL,1,1,1,,gots000
,,,,M1,,W2,2,,,,SC2,150,,RP2,,WD-3B,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M1,0,0,350,,SC2,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,F4,F4,F4,1,1,1,,do not remove this last column
,,,,M2,,,,,,,SC3,200,,RP3,,WD-3C,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M2,0,0,150,,SC3,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,BL,BL,BL,1,1,1,,
,,,,F3,,,,,,,SC4,250,,RP4,,SCF1,0,FALSE,FALSE,1,TRUE,800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,F3,0,0,75,,SC4,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,F4,F3,F5,1,1,1,,
,,,,F4,,,,,,,SC5,300,,RP5,,SCF2,1,FALSE,FALSE,1,TRUE,1500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,F4,0,0,50,,SC5,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,BL,BL,BL,1,1,1,,
,,,,F5,,,,,,,SC6,400,,RP6,,SCM,2,FALSE,FALSE,1,TRUE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,F5,0,0,25,,SC6,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,M2,M1,M1,1,1,1,,
,,,,WF,,,,,,,SC7,500,,RP7,,BN1,1,FALSE,FALSE,1,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,WF,0,0,10,,SC7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,RP8,,BN2,2,FALSE,FALSE,1,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,SCF1,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,F5,F5,F5,1,1,1,,
,,,,,,,,,,,,,,RP9,,BN3,3,FALSE,FALSE,1,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,SCF2,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,RP10,,,,,,,,,,,,,,,,,,,,,SCM,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,F3,W2,M2,1,1,1,,
,,,,,,,,,,,,,,RP11,,,,,,,,,,,,,,,,,,,,,BN1,22,22,22,22,22,22,22,22,22,22,22,22,22,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,RP12,,,,,,,,,,,,,,,,,,,,,BN2,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,M1,W2,WD,1,1,1,,
,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,BN3,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F5,F5,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F4,F4,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,M2,RP10,1,1,1,,
