screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,SCM2,1,FALSE,FALSE,2,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,SC1,20,20,20,0,0,0,0,0,0,0,0,,FALSE,,F9,M2,M3,F5,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,50,,RP2,,SCM3,2,FALSE,FALSE,3,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M1,0,0,100,250,800,,SC2,20,20,20,0,0,0,0,0,0,0,0,,,,F7,M4,M4,M3,F8,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,75,,RP3,,SCM4,3,FALSE,FALSE,4,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M2,0,0,50,200,600,,SC3,8,8,8,10,10,10,10,0,0,0,0,,,,M4,RP2,F5,RP6,M3,,,,,,,
,,,,M3,,,,,,,SC4,100,,RP4,,SCM5,4,FALSE,FALSE,5,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M3,0,0,40,150,500,,SC4,2,2,2,23,23,23,23,0,0,0,0,,,,F8,F5,RP5,F8,F9,,,,,,,
,,,,M4,,,,,,,SC5,200,,RP5,,SCM10,5,FALSE,FALSE,10,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M4,0,0,20,100,400,,SC5,0,0,0,8,8,8,8,20,20,20,0,,,,M3,M3,RP11,RP5,BN,,,,,,,
,,,,F5,,,,,,,SC6,300,,RP6,,,,,,,,,,,,,,,,F5,0,0,5,50,100,,SC6,0,0,0,4,4,4,4,20,20,20,0,,,,F5,F6,RP7,F6,F5,,,,,,,
,,,,F6,,,,,,,SC7,400,,RP7,,,,,,,,,,,,,,,,F6,0,0,5,50,100,,SC7,0,0,0,3,3,3,3,18,18,18,0,,,,RP1,F8,M4,M2,F8,,,,,,,
,,,,F7,,,,,,,SC8,500,,RP8,,,,,,,,,,,,,,,,F7,0,0,5,50,100,,SC8,0,0,0,0,0,0,0,14,14,14,0,,,,F6,RP1,F5,M1,M2,,,,,,,
,,,,F8,,,,,,,SC9,800,,RP9,,,,,,,,,,,,,,,,F8,0,0,5,50,100,,SC9,0,0,0,0,0,0,0,5,5,5,0,,,,F5,F5,M1,M1,F5,,,,,,,
,,,,F9,,,,,,,SC10,1000,,RP10,,,,,,,,,,,,,,,,F9,0,0,5,50,100,,SC10,0,0,0,0,0,0,0,5,5,5,0,,,,BN,RP2,F7,F6,WD,,,,,,,
,,,,F10,,,,,,,SC11,2000,,RP11,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,SC11,0,0,0,0,0,0,0,2,2,2,0,,,,F5,F9,WD,F7,F8,,,,,,,
,,,,,,,,,,,SC12,3000,,,,,,,,,,,,,,,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,0,,,,M4,M3,M3,RP5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM2,0,0,0,0,0,0,0,0,0,0,18,,,,RP3,M1,F6,RP5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM3,0,0,0,0,0,0,0,0,0,0,4,,,,F8,F7,F6,F9,RP9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM5,0,0,0,0,0,0,0,0,0,0,2,,,,M3,F6,BN,F6,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM10,0,0,0,0,0,0,0,0,0,0,1,,,,F9,WD,F7,WD,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F5,F7,M3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F5,F5,F5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP3,F9,F5,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,WD,M4,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F7,RP6,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M2,F9,RP6,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M1,M4,F6,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,F5,F5,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F5,BN,F8,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP2,F8,RP7,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,M3,F9,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP3,M1,RP7,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,M1,F8,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M2,M2,M2,RP8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M2,WD,M2,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M4,F7,RP8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F9,WD,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M4,F6,F8,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,RP7,F7,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,WD,RP11,F9,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,RP6,M1,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F7,M2,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M3,M2,M4,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP1,F6,RP7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,BN,F5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,M4,F9,RP6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,M3,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,M3,F9,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP2,WD,M2,RP9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F5,M2,M4,RP9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M3,M1,M4,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,M4,M1,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,F8,F5,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,BN,RP5,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F7,M3,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,F9,M2,M4,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP3,F6,M4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,RP6,F6,BN,,,,,,,
