screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,weights rp18,weights rp19,weights rp20,weights rp21,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,SC1-SV,1,FALSE,FALSE,1,TRUE,100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,SC1,20,20,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,F9,M2,F9,F5,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,50,,RP2,,SC2-SV,2,FALSE,FALSE,1,TRUE,200,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M1,0,0,100,250,800,,SC2,20,20,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F7,M4,M4,M3,M2,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,75,,RP3,,SC3-SV,3,FALSE,FALSE,1,TRUE,300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M2,0,0,50,200,600,,SC3,8,8,8,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M4,RP2,RP21,RP6,M3,,,,,,,
,,,,M3,,,,,,,SC4,100,,RP4,,SC4-SV,4,FALSE,FALSE,1,TRUE,400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M3,0,0,40,150,500,,SC4,8,8,8,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M1,F5,M3,F8,F9,,,,,,,
,,,,M4,,,,,,,SC5,200,,RP5,,SC5-SV,5,FALSE,FALSE,1,TRUE,500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M4,0,0,20,100,400,,SC5,0,0,0,8,8,8,8,5,5,5,0,0,0,0,0,0,0,0,0,0,0,,,,F5,M3,F5,M1,BN,,,,,,,
,,,,F5,,,,,,,SC6,300,,RP6,,SC6-SV,6,FALSE,FALSE,1,TRUE,800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F5,0,0,10,50,100,,SC6,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,,,,M3,F6,F5,F6,F5,,,,,,,
,,,,F6,,,,,,,SC7,400,,RP7,,SC7-SV,7,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F6,0,0,10,50,100,,SC7,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,RP1,F8,WD,M2,F8,,,,,,,
,,,,F7,,,,,,,SC8,500,,RP8,,SC8-SV,8,FALSE,FALSE,1,TRUE,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F7,0,0,10,50,100,,SC8,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,F6,RP1,M2,M2,M2,,,,,,,
,,,,F8,,,,,,,SC9,800,,RP9,,SC9-SV,9,FALSE,FALSE,1,TRUE,3000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F8,0,0,5,50,100,,SC9,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,M1,F5,M3,M3,F5,,,,,,,
,,,,F9,,,,,,,SC10,1000,,RP10,,SC10-SV,10,FALSE,FALSE,1,TRUE,4000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F9,0,0,5,50,100,,SC10,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,M2,F7,RP6,F6,WD,,,,,,,
,,,,F10,,,,,,,SC11,2000,,RP11,,SC11-SV,11,FALSE,FALSE,1,TRUE,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,F10,0,0,0,0,0,,SC11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,F5,F9,RP5,F7,F8,,,,,,,
,,,,,,,,,,,SC12,3000,,RP12,,SC12-SV,12,FALSE,FALSE,1,TRUE,10000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M4,M3,RP21,RP5,M4,,,,,,,
,,,,,,,,,,,,,,RP13,,SCM2,1,FALSE,FALSE,2,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,SC1-SV,0,0,0,0,0,0,0,0,0,0,19,19,19,15,15,15,15,5,5,5,0,,,,RP3,M1,RP6,F8,M4,,,,,,,
,,,,,,,,,,,,,,RP14,,SCM3,2,FALSE,FALSE,3,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,SC2-SV,0,0,0,0,0,0,0,0,0,0,4,4,4,10,10,10,10,10,10,10,0,,,,M3,F7,RP4,F9,RP19,,,,,,,
,,,,,,,,,,,,,,RP15,,SCM4,3,FALSE,FALSE,4,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,SC3-SV,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,20,20,20,0,,,,M3,F6,M1,F6,F7,,,,,,,
,,,,,,,,,,,,,,RP16,,SCM5,4,FALSE,FALSE,5,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,SC4-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,,,,F9,WD,F7,WD,M1,,,,,,,
,,,,,,,,,,,,,,RP17,,SCM10,5,FALSE,FALSE,10,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,SC5-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,,,,RP3,F5,F7,M3,M1,,,,,,,
,,,,,,,,,,,,,,RP18,,,,,,,,,,,,,,,,,,,,,,,SC6-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,,,,M2,F5,RP7,F5,M1,,,,,,,
,,,,,,,,,,,,,,RP19,,,,,,,,,,,,,,,,,,,,,,,SC7-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,,,,RP1,RP3,RP7,F5,F5,,,,,,,
,,,,,,,,,,,,,,RP20,,,,,,,,,,,,,,,,,,,,,,,SC8-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,,,M3,M4,RP21,M4,RP10,,,,,,,
,,,,,,,,,,,,,,RP21,,,,,,,,,,,,,,,,,,,,,,,SC9-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,M3,F7,RP6,F7,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,M2,M2,RP6,M2,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC11-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F8,RP2,F5,F6,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC12-SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F6,F9,M4,F5,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,M3,F5,RP21,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,RP11,F6,F8,RP7,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,F8,RP3,M1,F9,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,M1,F7,RP15,RP15,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,M1,M4,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,M2,M2,M2,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP12,WD,M2,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,M4,F7,RP8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F9,WD,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,RP21,F8,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F5,F6,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,WD,M3,F9,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,RP16,M2,RP18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,M2,M4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP3,F6,M4,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,M1,F7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,M4,RP17,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,M4,RP6,F5,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,RP5,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP2,RP21,F9,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP2,RP6,F8,RP9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F5,RP4,F8,RP20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,M1,M1,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F8,M1,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,RP14,F5,M2,,,,,,,
