screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,,pick weights,,feature reels,feature reels weights,,,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,game
44444,,50 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,0,0,,200,,1,1,wilds on the bottom (reel 2 - 4),,,FALSE,,F9,F7,F5,F8,F5,,,,,,,TRUE,,F9,F7,F5,F8,F5,1,0,0,0,1,,TRUE,,F9,F7,F5,F8,F5,1,0,0,0,1,,TRUE,,F9,F7,F5,F8,F5,1,0,0,0,1,,TRUE,,F9,F7,F5,F8,F5,1,1,1,1,0,,TRUE,,F9,F7,F5,F8,F5,1,1,1,1,1,,gots000
,,,,M1,,,,,,,,,,RP2,,M1,0,0,40,100,300,,M1,1,1,2,,200,,2,5,wilds on 3 bottom positions (reel 2 - 4),,,,,F9,F6,F6,F8,M3,,,,,,,,,F9,F6,F6,F8,M3,1,0,0,0,1,,,,F9,F6,F6,F8,M3,1,0,0,0,1,,,,F9,F6,F6,F8,M3,1,0,0,0,1,,,,F9,F6,F6,F8,M3,1,1,1,1,0,,,,F9,F6,F6,F8,M3,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,,,,RP3,,M2,0,0,25,80,250,,M2,1,1,2,,100,,3,2,wilds on top position (reel 2 - 4),,,,,M3,M1,RP1,RP1,M1,,,,,,,,,M3,M1,M4,F6,M1,1,0,0,0,1,,,,M3,M1,M4,F6,M1,1,0,0,0,1,,,,M3,M1,M4,F6,M1,1,0,0,0,1,,,,M3,M1,M4,F6,M1,1,1,1,1,0,,,,M3,M1,M4,F6,M1,1,1,1,1,1,,
,,,,M3,,,,,,,,,,,,M3,0,0,20,60,200,,M3,1,1,2,,40,,4,1,wilds on top 3 positions (reel 5),,,,,M2,M4,F7,F6,RP1,,,,,,,,,M2,M4,F7,WD,RP1,1,0,0,1,1,,,,M2,M4,F7,WD,RP1,1,0,0,5,1,,,,M2,M4,F7,WD,RP1,1,0,0,0,1,,,,M2,M4,F7,WD,RP1,1,1,1,0,0,,,,M2,M4,F7,WD,RP1,1,1,1,1,1,,
,,,,M4,,,,,,,,,,,,M4,0,0,10,50,150,,M4,1,1,2,,30,,5,0,,,,,,F8,F7,F8,F5,RP1,,,,,,,,,F8,F7,F8,F5,RP1,1,0,0,0,1,,,,F8,F7,F8,F5,RP1,1,0,0,2,1,,,,F8,F7,F8,F5,RP1,1,0,0,0,1,,,,F8,F7,F8,F5,RP1,1,1,1,0,0,,,,F8,F7,F8,F5,RP1,1,1,1,2,1,,
,,,,F5,,,,,,,,,,,,f5,0,0,5,35,60,,F5,1,1,1,,100,,,,,,,,,F8,F7,F8,M4,RP1,,,,,,,,,F8,F7,F8,M4,RP1,1,0,0,0,1,,,,F8,F7,F8,M4,RP1,1,0,0,1,1,,,,F8,F7,F8,M4,RP1,1,0,0,0,1,,,,F8,F7,F8,M4,RP1,1,1,1,0,0,,,,F8,F7,F8,M4,RP1,1,1,1,2,1,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,25,50,,F6,1,1,1,,100,,,,,,,,,BN,F5,M1,F9,RP1,,,,,,,,,M1,F5,F5,F9,RP1,1,0,0,0,1,,,,M1,F5,F5,F9,RP1,1,0,0,0,1,,,,M1,F5,F5,F9,RP1,1,0,0,1,1,,,,M1,F5,F5,F9,RP1,1,1,1,0,0,,,,M1,F5,F5,F9,RP1,1,1,1,1,1,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,25,50,,F7,1,1,1,,10,,,,,,,,,F6,F6,M3,M1,F5,,,,,,,,,F6,RP3,M3,F7,F5,1,0,0,0,1,,,,F6,RP3,M3,F7,F5,1,0,0,0,1,,,,F6,RP3,M3,F7,F5,1,0,0,0,1,,,,F6,RP3,M3,F7,F5,1,1,1,1,0,,,,F6,RP3,M3,F7,F5,1,1,1,1,1,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,25,50,,F8,1,1,1,,200,,,,,,,,,F5,WD,F6,M1,M1,,,,,,,,,F5,WD,F6,F7,M1,1,1,0,0,1,,,,F5,WD,F6,F7,M1,1,5,0,0,1,,,,F5,WD,F6,F7,M1,1,0,0,0,1,,,,F5,WD,F6,F7,M1,1,1,1,1,0,,,,F5,WD,F6,F7,M1,1,10,1,1,1,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,25,50,,F9,1,1,1,,20,,,,,,,,,F5,F9,M4,M3,F8,,,,,,,,,F5,F9,F7,M3,F8,1,0,0,0,1,,,,F5,F9,F7,M3,F8,1,2,0,0,1,,,,F5,F9,F7,M3,F8,1,0,0,0,1,,,,F5,F9,F7,M3,F8,1,0,1,1,0,,,,F5,F9,F7,M3,F8,1,10,1,1,1,,
