screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,initial wild vector 0,initial wild vector 1,initial wild vector 2,,wild10 mins,wild10 maxes,wild allocation weights,,,,wild feature yes,wild feature no,,scripted wild 1,scripted wild 2,scripted wild 3,scripted wild 4,scripted wild 5,scripted wild 6,,scripted wild spin 10,,weights of matrices of weights,weights of matrices of weights spin 10,,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,,reel strip weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
44444,,30 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,30,100,150,,WD,0,0,,0,0,0,,10,25,0,,,5,1,50,,0,0,0,0,0,0,,0,,0,2,,1,0,1,1,0,,1,1,1,1,1,,0,1,1,0,1,,0,1,0,1,1,,0,0,1,1,1,,1,,FALSE,,F7,F9,F6,M3,F8,,,,,,,FALSE,,BL,BL,BL,BL,BL,0,0,0,0,0,,FALSE,,BL,BL,BL,BL,BL,1,1,1,1,1,,gots000
,,,,M1,,WD2,2,,,,,,,RP2,,M1,0,0,25,75,125,,M1,1,1,,0,0,0,,10,25,0,,,6,1,50,,2,2,2,2,2,2,,2,,0,1,,1,0,1,1,0,,1,1,1,1,1,,0,1,1,0,1,,0,1,0,1,1,,0,0,1,1,1,,0,,,,F8,F6,F7,M5,F10,,,,,,,,,BL,BL,BL,BL,BL,0,0,0,0,0,,,,BL,BL,BL,BL,BL,1,1,1,1,1,,do not remove this last column
,,,,M2,,WD3,3,,,,,,,,,M2,0,0,20,60,100,,M2,1,1,,0,0,0,,10,25,0,,,7,1,30,,1,1,1,1,1,1,,2,,1,2,,1,0,1,1,0,,1,1,1,1,1,,0,1,1,0,1,,0,1,0,1,1,,0,0,1,1,1,,,,,,M2,F6,RP2,F6,M4,,,,,,,,,BL,BL,BL,BL,BL,0,0,0,0,0,,,,BL,BL,BL,BL,BL,1,1,1,1,1,,
,,,,M3,,WD4,4,,,,,,,,,M3,0,0,15,50,80,,M3,1,1,,0,0,0,,,,0,,,8,1,20,,0,0,0,0,0,0,,0,,1,2,,1,0,1,1,0,,1,1,1,1,1,,0,1,1,0,1,,0,1,0,1,1,,0,0,1,1,1,,,,,,F9,M3,F6,F8,M1,,,,,,,,,BL,BL,BL,BL,BL,0,0,0,0,0,,,,BL,BL,BL,BL,BL,1,1,1,1,1,,
,,,,M4,,WD5,5,,,,,,,,,M4,0,0,10,40,60,,M4,1,1,,3,3,3,,,,1,,,9,1,20,,0,0,0,0,0,0,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M5,F10,F10,F7,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,M5,,,,,,,,,,,,M5,0,0,10,40,50,,M5,1,1,,3,3,3,,,,1,,,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,F9,M4,M2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,F6,,,,,,,,,,,,F6,0,0,5,20,40,,F6,1,5,,3,3,3,,,,1,,,11,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M2,M4,F10,F9,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,F7,,,,,,,,,,,,F7,0,0,5,20,40,,F7,1,5,,3,5,5,,,,1,,,12,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F8,F6,M2,F10,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,F8,,,,,,,,,,,,F8,0,0,5,20,40,,F8,1,5,,4,5,8,,,,1,,,13,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M5,F8,M1,M4,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,F9,,,,,,,,,,,,F9,0,0,5,20,40,,F9,1,5,,-1,-1,-1,,,,1,,,14,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M2,M3,M5,F6,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
