screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,,FALSE,,F9,M2,M3,M3,M2,1,1,1,1,1,,FALSE,,BL,F6,M5,M5,F8,,,,,,,TRUE,,BL,F6,M5,M5,F8,1,0,0,1,0,,notes
,,,,M1,,,,,,,,,,,,M1,0,0,75,150,500,,M1,0,,,,F7,F6,M5,M5,M2,1,1,1,1,1,,,,BL,M4,F10,M2,M3,,,,,,,,,BL,M4,F10,M2,M3,1,0,0,1,0,,reel 0: regular
,,,,M2,,,,,,,,,,,,M2,0,0,50,100,300,,M2,1,,,,M2,M4,F10,M2,M2,1,1,1,1,1,,,,BL,M3,F10,F8,F7,,,,,,,,,BL,M3,F10,F8,F7,1,0,0,1,0,,reel 1: respin
,,,,M3,,,,,,,,,,,,M3,0,0,30,80,250,,M3,1,,,,F10,M3,BN,F8,M2,1,1,1,1,1,,,,,F9,F8,F9,M1,,,,,,,,,,F9,F8,F9,M1,,0,0,1,1,,reel 2: respin guard
,,,,M4,,,,,,,,,,,,M4,0,0,30,80,250,,M4,1,,,,M2,F9,F8,M1,M1,1,1,1,1,1,,,,,F9,M1,M1,F10,,,,,,,,,,F9,M1,M1,F10,,0,1,1,1,,
,,,,M5,,,,,,,,,,,,M5,0,0,30,80,250,,M5,1,,,,M3,F9,M5,F6,F10,1,1,1,1,1,,,,,M2,M2,F6,F10,,,,,,,,,,M2,M2,F6,F10,,0,1,1,1,,
,,,,F6,,,,,,,,,,,,F6,0,0,10,50,100,,F6,0,,,,M4,M2,M2,F6,BN,1,1,1,1,1,,,,,M5,F7,F10,M2,,,,,,,,,,M5,F7,F10,M2,,0,1,1,0,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,50,100,,F7,0,,,,F6,M5,M4,F10,F10,1,1,1,1,1,,,,,F10,F8,M3,F10,,,,,,,,,,F10,F8,M3,F10,,0,0,1,0,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,50,100,,F8,0,,,,BN,F10,F8,M3,M2,1,1,1,1,1,,,,,M1,M3,F6,M2,,,,,,,,,,M1,M3,F6,M2,,1,0,1,0,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,50,100,,F9,0,,,,F9,M2,M3,F6,M2,1,1,1,1,1,,,,,F9,M5,F6,M2,,,,,,,,,,F9,M5,F6,M2,,1,0,1,0,,
,,,,F10,,,,,,,,,,,,F10,0,0,10,50,100,,F10,0,,,,M5,F9,M5,M2,M2,1,1,1,1,1,,,,,M4,F7,M3,F6,,,,,,,,,,M4,F7,M3,F6,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M4,M2,M2,F6,1,1,1,1,1,,,,,M4,M2,F8,M4,,,,,,,,,,M4,M2,F8,M4,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,M2,F10,M4,1,1,1,1,1,,,,,F8,M1,M5,F9,,,,,,,,,,F8,M1,M5,F9,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F7,M5,F9,1,1,1,1,1,,,,,M1,M3,F7,M3,,,,,,,,,,M1,M3,F7,M3,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,M1,F7,M3,1,1,1,1,1,,,,,F8,F6,M2,F10,,,,,,,,,,F8,F6,M2,F10,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F6,M2,F10,1,1,1,1,1,,,,,F10,M2,M3,M2,,,,,,,,,,F10,M2,M3,M2,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,M2,M3,M2,1,1,1,1,1,,,,,M5,F9,M5,F7,,,,,,,,,,M5,F9,M5,F7,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M5,F9,M5,M1,1,1,1,1,1,,,,,F6,F10,M3,M1,,,,,,,,,,F6,F10,M3,M1,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,BN,M2,M4,1,1,1,1,1,,,,,M4,M4,M4,M5,,,,,,,,,,M4,M4,M4,M5,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,F7,M4,M5,0,1,1,1,1,,,,,F7,M2,F6,M2,,,,,,,,,,F7,M2,F6,M2,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,M2,F6,M2,0,1,1,1,1,,,,,M2,F6,M2,F9,,,,,,,,,,M2,F6,M2,F9,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,F6,M2,F9,0,1,1,1,1,,,,,F8,M1,F7,F10,,,,,,,,,,F8,M1,F7,F10,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,WD,F7,BN,0,1,1,1,1,,,,,F10,M4,F6,F8,,,,,,,,,,F10,M4,F6,F8,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F10,M1,F8,1,1,1,1,1,,,,,F9,F7,M1,M3,,,,,,,,,,F9,F7,M1,M3,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,F7,M2,M3,1,1,1,1,1,,,,,F7,F10,M2,M3,,,,,,,,,,F7,F10,M2,M3,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,M1,M2,F9,1,1,1,1,1,,,,,F8,F10,F9,M4,,,,,,,,,,F8,F10,F9,M4,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F8,M2,F9,M4,1,1,1,1,1,,,,,F9,M1,M4,F8,,,,,,,,,,F9,M1,M4,F8,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M4,M4,F8,1,1,1,1,1,,,,,M5,M3,F10,M1,,,,,,,,,,M5,M3,F10,M1,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M5,M3,F10,M2,1,1,1,1,1,,,,,M1,F8,F8,F9,,,,,,,,,,M1,F8,F8,F9,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M2,F8,F8,M2,1,1,1,1,1,,,,,F7,F10,M2,F8,,,,,,,,,,F7,F10,M2,F8,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,BN,M2,M2,1,1,1,1,1,,,,,F9,F6,F7,F9,,,,,,,,,,F9,F6,F7,F9,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,F6,F7,F9,1,1,1,1,1,,,,,F10,F9,F10,M4,,,,,,,,,,F10,F9,F10,M4,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M5,F9,WD,M4,1,1,1,1,1,,,,,M2,M1,F8,M5,,,,,,,,,,M2,M1,F8,M5,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M1,F8,M5,1,1,1,1,1,,,,,M1,F6,M4,F6,,,,,,,,,,M1,F6,M4,F6,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,F7,M4,F6,1,1,1,1,1,,,,,F7,F10,F9,F7,,,,,,,,,,F7,F10,F9,F7,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F10,F9,M4,1,1,1,1,1,,,,,F7,F10,F10,M3,,,,,,,,,,F7,F10,F10,M3,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,WD,BN,M2,M3,1,1,1,1,1,,,,,M2,F9,M5,M1,,,,,,,,,,M2,F9,M5,M1,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F9,M5,M5,1,1,1,1,1,,,,,F10,F10,M4,F7,,,,,,,,,,F10,F10,M4,F7,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F10,M4,M1,1,1,1,1,1,,,,,M3,M3,F9,F8,,,,,,,,,,M3,M3,F9,F8,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,M3,F9,M3,1,1,1,1,1,,,,,M1,M4,M3,F8,,,,,,,,,,M1,M4,M3,F8,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,M4,M3,F7,1,1,1,1,1,,,,,F8,M5,M5,F10,,,,,,,,,,F8,M5,M5,F10,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,M2,M5,F10,1,1,1,1,1,,,,,F10,F8,M2,F10,,,,,,,,,,F10,F8,M2,F10,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M3,M2,M2,BN,1,1,1,1,1,,,,,M5,F9,F9,M2,,,,,,,,,,M5,F9,F9,M2,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F10,F9,F7,1,1,1,1,1,,,,,M1,M2,F9,F8,,,,,,,,,,M1,M2,F9,F8,,1,0,1,0,,
