screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,SC,1,TRUE,FALSE,1,TRUE,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,1,1,1,1,,TRUE,,F7,F10,F9,F9,F6,3,1,1,1,1,,TRUE,,BL,F6,M5,M5,F8,1,1,1,1,2,,TRUE,,BL,F6,M5,M5,F8,1,0,0,0,1,,notes
,,,,M1,,WD2,2,,,,,,,RP2,,,,,,,,,,,,,,,,M1,0,0,30,200,400,,WD2,0,0,0,0,,,,BN,F8,M5,M2,F8,3,1,1,1,1,,,,BL,M4,F10,M2,F7,1,1,1,1,2,,,,BL,M4,F10,M2,F7,1,0,0,0,1,,reel 0: regular
,,,,M2,,WD3,3,,,,,,,RP3,,,,,,,,,,,,,,,,M2,0,0,20,80,250,,WD3,0,0,0,0,,,,F6,M4,M2,F7,F8,3,1,1,1,1,,,,BL,M3,F10,F8,F7,1,1,1,1,2,,,,BL,M3,F10,F8,F7,1,0,0,0,1,,reel 1: respin
,,,,M3,,WD4,4,,,,,,,RP4,,,,,,,,,,,,,,,,M3,0,0,15,60,200,,WD4,0,0,0,0,,,,F8,F9,M4,F8,SC,3,1,1,1,1,,,,,F9,F8,F9,M1,,1,1,1,1,,,,,F9,F8,F9,M1,,0,0,0,0,,reel 2: respin guard
,,,,M4,,WD5,5,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,15,60,200,,WD5,0,0,0,0,,,,M3,M3,F8,WD,M2,3,1,1,1,1,,,,,F9,M1,M1,F10,,1,1,1,1,,,,,F9,M1,M1,F10,,0,1,0,0,,
,,,,M5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,15,60,200,,,,,,,,,,F10,F6,M5,F6,F10,3,1,1,1,1,,,,,M2,F6,F6,F10,,1,1,1,1,,,,,M2,F6,F6,F10,,0,1,0,0,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,5,30,75,,,,,,,,,,F6,WD,F9,F8,BN,3,1,1,1,1,,,,,M5,F7,F10,F8,,1,1,1,2,,,,,M5,F7,F10,F8,,0,1,0,1,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,30,75,,,,,,,,,,BN,M5,F7,F10,F6,3,1,1,1,1,,,,,F10,F8,F6,F10,,1,1,2,2,,,,,F10,F8,F6,F10,,0,0,1,1,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,30,75,,,,,,,,,,F7,F10,M2,M3,F10,3,1,1,1,1,,,,,F10,F7,F8,F9,,1,1,2,2,,,,,F10,F7,F8,F9,,0,0,1,1,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,30,75,,,,,,,,,,M5,F9,M3,F6,SC,3,1,1,1,1,,,,,F9,M5,F6,F6,,1,1,2,2,,,,,F9,M5,F6,F6,,0,0,1,1,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,30,75,,,,,,,,,,F7,F9,F7,SC,F6,3,1,1,1,1,,,,,F7,F7,F8,F6,,1,1,2,2,,,,,F7,F7,F8,F6,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,SC,F10,M4,F8,3,1,1,1,1,,,,,M4,F6,F8,F8,,1,1,2,2,,,,,M4,F6,F8,F8,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M5,F6,F6,F10,3,1,1,1,1,,,,,F8,M1,M5,F9,,1,1,1,2,,,,,F8,M1,M5,F9,,0,1,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F10,F7,M2,F9,3,1,1,1,1,,,,,M1,M3,F7,M3,,1,1,1,1,,,,,M1,M3,F7,M3,,1,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F6,F8,F7,BN,4,1,1,1,1,,,,,F8,F6,F9,F10,,1,1,1,1,,,,,F8,F6,F9,F10,,1,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F9,F6,F6,F10,4,1,1,1,1,,,,,F10,M2,F6,F6,,1,1,2,1,,,,,F10,M2,F6,F6,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F10,M1,M3,F7,4,1,1,1,1,,,,,F9,F9,M5,F7,,1,1,1,2,,,,,F9,F9,M5,F7,,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F8,F9,F6,M4,4,1,1,1,1,,,,,F6,F10,F10,M1,,1,1,1,1,,,,,F6,F10,F10,M1,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F9,M4,M3,3,1,1,1,1,,,,,F7,F7,M4,M5,,1,1,1,1,,,,,F7,F7,M4,M5,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,M4,F10,F8,3,1,1,1,1,,,,,F7,F6,F6,F6,,1,1,1,1,,,,,F7,F6,F6,F6,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F7,F8,F6,F9,3,1,1,1,1,,,,,F6,F6,F10,F9,,1,1,1,1,,,,,F6,F6,F10,F9,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,F6,F7,F7,3,1,1,1,1,,,,,F8,M1,F7,F10,,1,1,2,2,,,,,F8,M1,F7,F10,,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,WD,F8,BN,3,1,1,1,1,,,,,F10,M4,F6,F8,,1,1,2,2,,,,,F10,M4,F6,F8,,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F10,F10,F9,F8,3,1,1,1,1,,,,,F9,F7,M1,F9,,1,1,1,2,,,,,F9,F7,M1,F9,,0,1,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F7,F8,F8,3,1,1,1,1,,,,,F7,F10,F10,M3,,1,1,1,1,,,,,F7,F10,F10,M3,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,F8,M3,SC,3,1,1,1,1,,,,,F8,F10,F9,M4,,1,1,1,1,,,,,F8,F10,F9,M4,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,F9,M4,3,1,1,1,1,,,,,F9,F7,F9,F8,,1,1,2,1,,,,,F9,F7,F9,F8,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F8,F10,F8,F8,3,1,1,1,1,,,,,M5,F10,F10,F8,,1,1,2,1,,,,,M5,F10,F10,F8,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M5,M3,F10,M2,3,1,1,1,1,,,,,M1,F8,F8,F9,,1,1,2,2,,,,,M1,F8,F8,F9,,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F8,M5,F9,3,1,1,1,1,,,,,F7,F10,M2,F8,,1,1,1,2,,,,,F7,F10,M2,F8,,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,F8,F9,M3,3,1,1,1,1,,,,,F9,F6,F7,F9,,1,1,1,2,,,,,F9,F6,F7,F9,,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,F6,F7,F7,3,1,1,1,1,,,,,F10,F9,F10,M4,,1,1,1,1,,,,,F10,F9,F10,M4,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,F9,F8,M4,3,1,1,1,1,,,,,M2,M1,F8,M5,,1,1,2,1,,,,,M2,M1,F8,M5,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,SC,F8,SC,3,1,1,1,1,,,,,F10,F6,M4,F6,,1,1,1,1,,,,,F10,F6,M4,F6,,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F10,F7,M5,F9,3,1,1,1,1,,,,,F7,F10,F9,F7,,1,1,1,1,,,,,F7,F10,F9,F7,,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F8,F6,F9,F6,3,1,1,1,1,,,,,F7,F10,F10,F10,,1,1,1,2,,,,,F7,F10,F10,F10,,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F9,F7,F7,M3,4,1,1,1,1,,,,,F8,F9,M5,M1,,1,1,1,1,,,,,F8,F9,M5,M1,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,F7,F9,M5,BN,4,1,1,1,1,,,,,F10,F10,F6,F7,,1,1,1,1,,,,,F10,F10,F6,F7,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M3,F10,M1,F6,4,1,1,1,1,,,,,M3,M3,M3,F8,,1,1,1,1,,,,,M3,M3,M3,F8,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M2,F9,F9,F10,4,1,1,1,1,,,,,M1,M4,F9,F8,,1,1,1,2,,,,,M1,M4,F9,F8,,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,F8,F7,,1,1,1,1,,,,,F8,M5,F8,F10,,1,1,1,2,,,,,F8,M5,F8,F10,,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M3,F9,,1,1,1,1,,,,,F10,F8,F10,F10,,1,1,2,2,,,,,F10,F8,F10,F10,,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,SC,M2,BN,,1,1,1,1,,,,,M5,F9,F9,M2,,1,1,2,1,,,,,M5,F9,F9,M2,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,F9,F8,,1,1,1,1,,,,,M1,F10,F9,F8,,1,1,2,1,,,,,M1,F10,F9,F8,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F6,F6,M2,,1,1,1,1,,,,,F7,M1,F8,M4,,1,1,2,1,,,,,F7,M1,F8,M4,,1,1,1,0,,
