screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,,tumbling reel strip weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,20,,RP1,,SC-Mini,13,FALSE,FALSE,1,TRUE,800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,FALSE,,F8,F5,F5,F7,F8,,,,,,,FALSE,,F8,F5,F5,F7,F8,,,,,,,FALSE,,F8,F5,F5,F7,F8,,,,,,,FALSE,,F8,F5,F5,F7,F8,,,,,,,gots000
,,,,M1,,,,,,,SC2,40,,RP2,,SC-Minor,14,FALSE,FALSE,1,TRUE,1500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,20,150,300,,M1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,M4,M2,M4,F7,F7,,,,,,,,,M4,M2,M4,F7,F7,,,,,,,,,M4,M2,M4,F7,F7,,,,,,,,,M4,M2,M4,F7,F7,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,60,,RP3,,SC-Major,15,FALSE,FALSE,1,TRUE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,20,150,200,,M2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,F5,F8,F5,M1,M3,,,,,,,,,F5,F8,F5,M1,M3,,,,,,,,,F5,F8,F5,M1,M3,,,,,,,,,F5,F8,F5,M1,M3,,,,,,,
,,,,M3,,,,,,,SC4,80,,RP4,,TW,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M3,0,0,10,100,150,,M3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F6,M3,M3,F5,M3,,,,,,,,,F6,M3,M3,F5,M3,,,,,,,,,F6,M3,M3,F5,M3,,,,,,,,,F6,M3,M3,F5,M3,,,,,,,
,,,,M4,,,,,,,SC5,100,,RP5,,,,,,,,,,,,,,,,M4,0,0,10,100,150,,M4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F5,F8,F7,F5,F5,,,,,,,,,F5,F8,F7,F5,F5,,,,,,,,,F5,F8,F7,F5,F5,,,,,,,,,F5,F8,F7,F5,F5,,,,,,,
,,,,F5,,,,,,,SC6,150,,RP6,,,,,,,,,,,,,,,,M5,0,0,5,50,100,,F5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M3,WD,M4,WD,F8,,,,,,,,,M3,WD,M4,WD,F8,,,,,,,,,M3,WD,M4,WD,F8,,,,,,,,,M3,WD,M4,WD,F8,,,,,,,
,,,,F6,,,,,,,SC7,200,,RP7,,,,,,,,,,,,,,,,F6,0,0,5,50,100,,F6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F5,F5,F5,F8,M1,,,,,,,,,F5,F5,F5,F8,M1,,,,,,,,,F5,F5,F5,F8,M1,,,,,,,,,F5,F5,F5,F8,M1,,,,,,,
,,,,F7,,,,,,,SC8,250,,RP8,,,,,,,,,,,,,,,,F7,0,0,5,10,50,,F7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F8,M2,M1,M3,F6,,,,,,,,,F8,M2,M1,M3,F6,,,,,,,,,F8,M2,M1,M3,F6,,,,,,,,,F8,M2,M1,M3,F6,,,,,,,
,,,,F8,,,,,,,SC9,300,,RP9,,,,,,,,,,,,,,,,F8,0,0,5,10,50,,F8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M1,F7,M3,F8,F5,,,,,,,,,M1,F7,M3,F8,F5,,,,,,,,,M1,F7,M3,F8,F5,,,,,,,,,M1,F7,M3,F8,F5,,,,,,,
,,,,F9,,,,,,,SC10,400,,RP10,,,,,,,,,,,,,,,,F9,0,0,0,0,0,,F9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F7,WD,WD,M4,M2,,,,,,,,,F7,WD,WD,M4,M2,,,,,,,,,F7,WD,WD,M4,M2,,,,,,,,,F7,WD,WD,M4,M2,,,,,,,
