screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,10,,RP1,,SC-Mini,13,FALSE,FALSE,1,TRUE,500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,F9,M4,F7,M5,M2,,,,,,,gots000
,,,,M1,,,,,,,SC2,20,,RP2,,SC-MINOR,14,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,25,50,200,,M1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP2,M1,BN,F6,F8,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,40,,RP3,,SC-Major,15,FALSE,FALSE,1,TRUE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,20,25,150,,M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M3,F9,F9,RP6,RP13,,,,,,,
,,,,M3,,,,,,,SC4,50,,RP4,,,,,,,,,,,,,,,,M3,0,0,20,25,100,,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP1,BN,RP1,F8,RP17,,,,,,,
,,,,M4,,,,,,,SC5,60,,RP5,,,,,,,,,,,,,,,,M4,0,0,10,15,40,,M4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP1,RP1,RP2,RP5,RP12,,,,,,,
,,,,M5,,,,,,,SC6,80,,RP6,,,,,,,,,,,,,,,,M5,0,0,10,15,40,,M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M4,M2,RP2,F6,M5,,,,,,,
,,,,F6,,,,,,,SC7,100,,RP7,,,,,,,,,,,,,,,,F6,0,0,5,8,10,,F6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,BN,RP1,RP1,M4,F8,,,,,,,
,,,,F7,,,,,,,SC8,120,,RP8,,,,,,,,,,,,,,,,F7,0,0,5,8,10,,F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M4,RP3,RP3,M2,F7,,,,,,,
,,,,F8,,,,,,,SC9,150,,RP9,,,,,,,,,,,,,,,,F8,0,0,5,8,10,,F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M2,RP6,M2,M3,M5,,,,,,,
,,,,F9,,,,,,,SC10,180,,RP10,,,,,,,,,,,,,,,,F9,0,0,5,8,10,,F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M5,M4,RP2,RP8,WD,,,,,,,
,,,,,,,,,,,SC11,200,,RP11,,,,,,,,,,,,,,,,,,,,,,,SC1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F7,RP1,RP9,F7,F8,,,,,,,
,,,,,,,,,,,SC12,220,,RP12,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP1,RP4,RP9,M5,M4,,,,,,,
,,,,,,,,,,,SC13,250,,RP13,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,F7,RP2,RP8,M4,M4,,,,,,,
,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,RP2,M3,RP1,F9,RP17,,,,,,,
,,,,,,,,,,,,,,RP15,,,,,,,,,,,,,,,,,,,,,,,SC5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,RP3,M3,RP1,F6,F7,,,,,,,
,,,,,,,,,,,,,,RP16,,,,,,,,,,,,,,,,,,,,,,,SC6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,F6,F8,RP2,WD,M1,,,,,,,
,,,,,,,,,,,,,,RP17,,,,,,,,,,,,,,,,,,,,,,,SC7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,RP1,F9,M1,M3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,RP4,BN,RP1,M5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,RP2,F6,F6,RP5,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,F8,F7,BN,RP5,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,RP4,F8,RP3,WD,RP17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,M2,F7,F8,WD,RP10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,RP1,RP7,M1,F6,F9,,,,,,,
