screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,wild 1,wild 2,wild 3,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,SCJ1,6,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,,0,0,0,,FALSE,,M5,M5,F10,M5,F9,,FALSE,,M5,M5,F10,M5,F9,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,200,,RP2,,SCJ2,7,FALSE,FALSE,1,TRUE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,0,0,0,,M1,2,0,0,0,0,0,0,0,0,0,,9875,9750,9500,,,,M5,RP1,M5,M4,F9,,,,M5,M1,M5,M4,F9,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,SC3,300,,RP3,,SCJ3,8,FALSE,FALSE,1,TRUE,3000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,0,0,0,,M2,2,0,0,0,0,0,0,0,0,0,,,,,,,,F9,RP1,M4,F8,M4,,,,F9,M4,M4,F8,M4,1,1,1,1,1,,
,,,,M3,,,,,,,SC4,400,,RP4,,SCJ4,9,FALSE,FALSE,1,TRUE,5000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M3,0,0,0,0,0,,M3,2,0,0,0,0,0,0,0,0,0,,,,,,,,F7,F6,M1,RP2,F10,,,,F7,RP1,RP1,RP2,F10,1,1,1,0,1,,
,,,,M4,,,,,,,SC5,500,,RP5,,,,,,,,,,,,,,,,M4,0,0,0,0,0,,M4,2,0,0,0,0,0,0,0,0,0,,,,,,,,F7,WD,F7,RP2,F8,,,,F7,F7,F7,RP2,F8,1,1,1,0,1,,
,,,,M5,,,,,,,SC8,800,,RP6,,,,,,,,,,,,,,,,M5,0,0,0,0,0,,M5,1,0,0,0,0,0,0,0,0,0,,,,,,,,F6,F10,WD,F6,RP2,,,,F6,M5,F8,F6,M2,1,1,1,0,1,,
,,,,F6,,,,,,,,,,RP7,,,,,,,,,,,,,,,,F6,0,0,0,0,0,,F6,1,0,0,0,0,0,0,0,0,0,,,,,,,,M1,M3,F6,M3,F7,,,,RP1,M3,F6,M3,M1,1,1,1,0,1,,
,,,,F7,,,,,,,,,,RP8,,,,,,,,,,,,,,,,F7,0,0,0,0,0,,F7,1,0,0,0,0,0,0,0,0,0,,,,,,,,M1,M2,M3,F9,F6,,,,M5,M2,M3,F9,F6,1,1,1,1,1,,
,,,,F8,,,,,,,,,,RP9,,,,,,,,,,,,,,,,F8,0,0,0,0,0,,F8,1,0,0,0,0,0,0,0,0,0,,,,,,,,M2,F7,RP3,F6,M2,,,,M2,RP1,RP3,F6,M2,1,1,1,1,1,,
,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,0,0,0,,F9,1,0,0,0,0,0,0,0,0,0,,,,,,,,F9,M4,RP3,WD,F9,,,,F9,M4,RP3,M1,F9,1,1,1,1,1,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,F10,1,0,0,0,0,0,0,0,0,0,,,,,,,,RP1,F8,M4,F7,F6,,,,F10,F8,M4,F7,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC1,0,31,31,31,31,31,31,31,0,0,,,,,,,,RP1,WD,M1,F7,RP10,,,,M1,F9,RP1,F7,RP10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC2,0,10,10,10,10,10,10,10,0,0,,,,,,,,RP1,F9,M2,M3,F10,,,,M1,RP1,M2,M3,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC3,0,5,5,5,5,5,5,5,0,0,,,,,,,,RP1,M2,F10,M2,M5,,,,RP1,M5,F10,F9,M5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC4,0,4,4,4,4,4,4,4,0,0,,,,,,,,RP1,F7,RP8,F9,M5,,,,RP1,M4,RP8,F9,M5,1,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5,0,2,2,2,2,2,2,2,0,0,,,,,,,,F10,F7,F6,F9,F7,,,,F10,F7,RP5,RP4,F7,1,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,0,0,0,0,0,0,0,0,,,,,,,,F8,RP4,M3,RP5,M2,,,,F8,RP4,F6,F6,M2,1,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ1,0,0,0,0,0,0,0,0,100,40,,,,,,,,F9,RP5,RP1,F6,F8,,,,RP2,F6,M1,M2,F8,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ2,0,0,0,0,0,0,0,0,40,50,,,,,,,,F6,F6,M5,F8,F8,,,,RP8,F9,RP1,F8,F8,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ3,0,0,0,0,0,0,0,0,15,20,,,,,,,,F6,M1,F9,M1,RP5,,,,RP6,RP1,RP1,M1,RP5,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ4,0,0,0,0,0,0,0,0,5,10,,,,,,,,F8,M3,WD,M5,F6,,,,F8,M3,M3,M5,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,F8,F6,F10,,,,F6,F7,F8,F6,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,M5,F10,F8,,,,F10,F9,M5,F10,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,RP3,F7,F8,,,,F10,F8,RP3,F7,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,RP6,RP3,RP3,,,,F7,RP1,RP6,RP3,M2,1,1,1,1,1,,
