screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
33333,,15,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,SCJ1,6,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,SC1,31,31,31,31,31,31,31,31,0,0,,2,,TRUE,,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,2,1,3,3,8,3,1,2,8,3,8,3,1,3,1,,TRUE,,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,SCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,gots000
,,,,,,M1,,,,,,,SC2,200,,RP2,,SCJ2,7,FALSE,FALSE,1,TRUE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,75,250,500,,SC2,10,10,10,10,10,10,10,10,0,0,,1,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,15,150,4,4,20,4,150,15,20,4,20,4,150,4,150,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,do not remove this last column
,,,,,,M2,,,,,,,SC3,300,,RP3,,SCJ3,8,FALSE,FALSE,1,TRUE,3000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,50,200,400,,SC3,5,5,5,5,5,5,5,5,0,0,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,15,150,2,2,20,2,150,15,20,2,20,2,150,2,150,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,
,,,,,,M3,,,,,,,SC4,400,,RP4,,SCJ4,9,FALSE,FALSE,1,TRUE,5000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M3,0,0,30,150,300,,SC4,4,4,4,4,4,4,4,4,0,0,,,,,,RP2,RP8,RP2,RP2,RP7,RP2,RP8,RP2,RP7,RP2,RP7,RP2,RP8,RP2,RP8,3,1,2,2,3,2,1,3,3,2,3,2,1,2,1,,,,RP2,RP8,SC1,RP2,RP7,SC1,RP8,RP2,SC1,RP2,RP7,SC1,RP8,RP2,SC1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,,
,,,,,,M4,,,,,,,SC5,500,,RP5,,SCF,10,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M4,0,0,20,100,200,,SC5,2,2,2,2,2,2,2,2,0,0,,,,,,RP9,RP3,RP1,RP1,RP10,RP1,RP3,RP9,RP10,RP1,RP10,RP1,RP3,RP1,RP3,11,1,2,2,3,2,1,11,3,2,3,2,1,2,1,,,,RP9,RP3,RP1,RP1,RP10,RP1,RP3,RP9,RP10,RP1,RP10,RP1,RP3,RP1,RP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,F5,,,,,,,SC8,800,,RP6,,,,,,,,,,,,,,,,F5,0,0,10,50,100,,SC8,0,0,0,0,0,0,0,0,0,0,,,,,,RP8,BL,RP3,RP3,BL,RP3,BL,RP8,BL,RP3,BL,RP3,BL,RP3,BL,4,300,2,2,90,2,300,4,90,2,90,2,300,2,300,,,,RP8,BL,RP3,RP3,BL,RP3,BL,RP8,BL,RP3,BL,RP3,BL,RP3,BL,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,,
,,,,,,F6,,,,,,,,,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,50,100,,SCJ1,0,0,0,0,0,0,0,0,100,40,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,7,150,6,6,20,6,150,7,20,6,20,6,150,6,150,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,
,,,,,,F7,,,,,,,,,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,50,100,,SCJ2,0,0,0,0,0,0,0,0,40,50,,,,,,BL,RP10,BL,BL,BL,BL,RP10,BL,BL,BL,BL,BL,RP10,BL,RP10,7,1,1,1,20,1,1,7,20,1,20,1,1,1,1,,,,BL,RP10,BL,BL,BL,BL,RP10,BL,BL,BL,BL,BL,RP10,BL,RP10,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,,
,,,,,,F8,,,,,,,,,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,50,100,,SCJ3,0,0,0,0,0,0,0,0,15,20,,,,,,RP4,RP7,RP4,RP4,RP4,RP4,RP7,RP4,RP4,RP4,RP4,RP4,RP7,RP4,RP7,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,,,,RP4,RP7,RP4,RP4,RP4,RP4,RP7,RP4,RP4,RP4,RP4,RP4,RP7,RP4,RP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,50,100,,SCJ4,0,0,0,0,0,0,0,0,5,10,,,,,,RP6,RP2,RP5,RP5,RP9,RP5,RP2,RP6,RP9,RP5,RP9,RP5,RP2,RP5,RP2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,,,,RP6,RP2,RP5,RP5,RP9,RP5,RP2,RP6,RP9,RP5,RP9,RP5,RP2,RP5,RP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
