screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,,adding sc feature weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
34466,,ways,,WD,,WD,1,,BN,,SC1,10,,RP1,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,,1,,FALSE,,F9,M2,F10,M5,M2,1,1,1,1,1,,TRUE,,F9,M2,F10,M5,M2,0,0,0,1,1,,gots000
,,,,M1,,,,,,,SC2,25,,RP2,,M1,0,0,40,100,250,,M1,1,1,0,0,0,0,0,0,0,0,0,0,,79,,,,F7,F10,RP1,M3,F8,,,,,,,,,F6,F10,RP1,M3,F8,0,0,0,1,1,,do not remove this last column
,,,,M2,,,,,,,SC3,50,,RP3,,M2,0,0,20,30,100,,M2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,M4,F8,F10,RP8,M4,,,,,,,,,M4,F8,F10,RP6,M4,0,0,0,1,1,,
,,,,M3,,,,,,,SC4,75,,RP4,,M3,0,0,20,30,100,,M3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,RP4,M5,RP1,F8,F9,,,,,,,,,RP4,F7,RP1,RP6,F9,1,0,0,1,1,,
,,,,M4,,,,,,,SC5,100,,RP5,,M4,0,0,10,20,80,,M4,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,F8,M3,M5,RP7,BN,,,,,,,,,F6,F9,M5,RP7,RP12,1,0,0,1,1,,
,,,,M5,,,,,,,SC6,150,,RP6,,M5,0,0,10,20,80,,M5,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,M3,F6,M5,F6,F10,,,,,,,,,M3,F7,M5,RP7,F10,1,0,0,1,1,,
,,,,F6,,,,,,,SC7,200,,RP7,,F6,0,0,4,8,20,,F6,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,RP1,F8,WD,M2,F8,,,,,,,,,M4,RP3,WD,RP8,F8,0,1,0,1,1,,
,,,,F7,,,,,,,SC8,250,,RP8,,F7,0,0,4,8,20,,F7,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,F6,RP3,M2,M2,M2,,,,,,,,,F6,RP4,M2,RP9,M2,0,1,0,1,1,,
,,,,F8,,,,,,,SC9,300,,RP9,,F8,0,0,4,8,20,,F8,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,M5,F10,M3,M3,M5,,,,,,,,,M5,RP3,M3,RP9,M5,0,1,0,1,1,,
,,,,F9,,,,,,,SC10,500,,RP10,,F9,0,0,4,8,20,,F9,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,BN,F7,M1,F6,RP10,,,,,,,,,F8,F7,M1,F6,RP10,0,1,0,1,1,,
,,,,F10,,,,,,,SC11,1000,,RP11,,F10,0,0,4,8,20,,F10,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,M5,F9,F7,F7,RP11,,,,,,,,,M5,F9,F7,F7,RP11,0,1,0,1,1,,
,,,,,,,,,,,SC12,2500,,RP12,,,,,,,,,SC1,0,0,10,10,10,0,0,0,0,0,0,0,,,,,,F9,M3,RP6,F8,RP10,,,,,,,,,M4,F7,RP6,F8,RP10,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,20,20,20,0,0,0,0,0,0,0,,,,,,RP5,M1,F6,F9,RP12,,,,,,,,,RP5,M1,RP6,F9,RP12,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,8,8,8,20,20,20,20,0,0,0,,,,,,F7,F7,F6,F9,RP11,,,,,,,,,M2,F7,RP7,F9,RP11,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,8,8,8,20,20,20,20,0,0,0,,,,,,F8,F6,BN,F6,RP12,,,,,,,,,M1,F6,RP7,F6,RP12,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC5,0,0,4,4,4,8,8,8,8,0,0,0,,,,,,F9,WD,F7,WD,RP10,,,,,,,,,M1,WD,RP8,WD,RP10,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC6,0,0,2,2,2,4,4,4,4,0,0,0,,,,,,F7,M5,F7,M3,RP11,,,,,,,,,F6,M5,RP9,M3,RP11,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC7,0,0,0,0,0,3,3,3,3,14,14,14,,,,,,BN,M5,RP9,F10,RP10,,,,,,,,,RP4,M5,RP9,F10,RP10,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,0,0,0,2,2,2,2,14,14,14,,,,,,F8,F9,F6,F10,RP12,,,,,,,,,F6,F9,F6,F10,RP12,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC9,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,M3,F10,F6,RP1,M1,,,,,,,,,M3,F10,F6,RP6,M1,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC10,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,M3,F7,M4,RP1,M1,,,,,,,,,M3,F7,M4,RP6,M1,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC11,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,M2,M2,M2,RP1,M1,,,,,,,,,M2,F8,M2,RP7,M1,0,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,RP3,F9,RP1,RP1,F9,,,,,,,,,RP3,F10,RP1,RP7,F9,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M5,M5,M2,,,,,,,,,F6,F10,M5,RP8,M2,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M5,RP1,M1,M3,,,,,,,,,M3,RP5,RP1,RP9,M3,1,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F8,F10,F7,,,,,,,,,M2,RP5,F8,RP9,F7,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP5,M3,F10,BN,,,,,,,,,F8,RP5,M3,F10,RP12,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F10,M1,M5,F6,,,,,,,,,M1,F10,M1,M5,F6,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,M1,M4,M5,,,,,,,,,F10,F8,M1,M4,M5,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M2,M2,M2,RP10,,,,,,,,,F6,F8,M2,M2,RP10,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M2,WD,M2,F8,,,,,,,,,F7,M4,WD,M2,F8,0,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M4,F7,RP10,,,,,,,,,,M3,M4,F7,RP10,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F9,WD,F9,,,,,,,,,,,F9,WD,F9,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,F6,F8,M4,,,,,,,,,,,F6,F8,M4,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,RP7,F7,RP1,,,,,,,,,,,RP6,F7,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,WD,M5,F9,RP1,,,,,,,,,,,RP6,F9,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M3,M2,RP1,,,,,,,,,,,RP7,M2,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,M1,M4,RP1,,,,,,,,,,,RP7,M4,RP12,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F10,M2,M4,RP1,,,,,,,,,,,RP8,M4,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,F6,RP9,RP1,,,,,,,,,,,RP9,RP6,RP12,,,1,1,1,,
