screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,WD,0,0,0,0,0,,SC1,10,10,10,0,0,0,0,0,0,0,,FALSE,,F9,M2,M3,M5,M2,1,1,1,1,1,,TRUE,,BL,M2,M3,M5,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,50,,RP2,,M1,0,0,50,150,750,,SC2,20,20,20,0,0,0,0,0,0,0,,,,M2,M4,M4,M3,M2,,,,,,,,,BL,M4,M4,M3,M2,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,SC3,75,,RP3,,M2,0,0,30,125,350,,SC3,8,8,8,10,10,10,10,0,0,0,,,,M4,F8,RP6,RP6,M3,,,,,,,,,BL,RP2,RP6,RP6,M3,1,1,1,1,1,,
,,,,M3,,,,,,,SC4,100,,RP4,,M3,0,0,20,100,250,,SC4,8,8,8,10,10,10,10,0,0,0,,,,M3,M5,RP5,F8,F9,,,,,,,,,,M5,RP5,F8,F9,,1,1,1,1,,
,,,,M4,,,,,,,SC5,200,,RP5,,M4,0,0,20,100,250,,SC5,3,3,3,8,8,8,8,0,0,0,,,,M5,M3,M5,M1,RP9,,,,,,,,,,M3,M5,M1,RP9,,1,5,1,1,,
,,,,M5,,,,,,,SC6,300,,RP6,,M5,0,0,15,75,150,,SC6,0,0,0,5,5,5,5,0,0,0,,,,F7,F6,F7,F6,M5,,,,,,,,,,F6,F7,F6,M5,,1,5,1,1,,
,,,,F6,,,,,,,SC7,400,,RP7,,F6,0,0,10,50,100,,SC7,0,0,0,0,0,0,0,14,14,14,,,,RP1,F8,BN,M2,F8,,,,,,,,,,F8,RP6,M2,F8,,1,5,1,1,,
,,,,F7,,,,,,,SC8,500,,RP8,,F7,0,0,10,50,100,,SC8,0,0,0,0,0,0,0,14,14,14,,,,RP1,RP1,F8,M2,F7,,,,,,,,,,RP1,F8,M2,F7,,5,1,1,1,,
,,,,F8,,,,,,,SC9,1000,,RP9,,F8,0,0,10,50,100,,SC9,0,0,0,0,0,0,0,5,5,5,,,,RP1,M5,M5,M3,BN,,,,,,,,,,M5,M5,M3,RP8,,5,1,1,1,,
,,,,F9,,,,,,,SC10,2000,,RP10,,F9,0,0,10,50,100,,SC10,0,0,0,0,0,0,0,4,4,4,,,,F7,M1,F9,F6,F6,,,,,,,,,,M1,F9,F6,F6,,5,1,1,1,,
,,,,F10,,,,,,,SC11,3000,,,,F10,0,0,0,0,0,,SC11,0,0,0,0,0,0,0,1,1,1,,,,M5,F9,WD,F7,M3,,,,,,,,,,F9,WD,F7,M3,,1,1,1,1,,
,,,,,,,,,,,SC12,5000,,,,,,,,,,,SC12,0,0,0,0,0,0,0,1,1,1,,,,M4,M3,M3,RP5,M4,,,,,,,,,,M3,M3,RP5,M4,,1,1,1,1,,
