screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,,pay table,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,,game
444444,,ways,,WD,,WD,1,,BN,,SC,0,,RP1,,,WD,0,0,0,0,0,0,,WD,0,6,,FALSE,,F9,F8,F7,M4,F8,F7,,,,,,,,gots000
,,,,M1,,,,,,,,,,RP2,,,M1,0,0,75,100,150,350,,M1,2,1,,,,F6,M4,F10,M4,F8,M1,,,,,,,,do not remove this last column
,,,,M2,,,,,,,,,,,,,M2,0,0,50,75,100,150,,M2,1,1,,,,M1,F7,F10,F8,F8,F9,,,,,,,,
,,,,M3,,,,,,,,,,,,,M3,0,0,50,75,100,150,,M3,1,1,,,,F6,F7,M2,F7,M2,M2,,,,,,,,
,,,,M4,,,,,,,,,,,,,M4,0,0,40,50,75,100,,M4,1,1,,,,M5,F7,F6,F7,F6,F7,,,,,,,,
,,,,M5,,,,,,,,,,,,,M5,0,0,40,50,75,100,,M5,1,1,,,,M5,F6,RP1,M3,M3,M4,,,,,,,,
,,,,F6,,,,,,,,,,,,,F6,0,0,10,25,50,75,,F6,0,0,,,,F10,F10,RP1,F9,F7,M3,,,,,,,,
,,,,F7,,,,,,,,,,,,,F7,0,0,10,25,50,75,,F7,0,0,,,,F6,RP1,M5,M2,M1,M2,,,,,,,,
,,,,F8,,,,,,,,,,,,,F8,0,0,10,25,50,75,,F8,0,0,,,,F6,RP1,F6,M1,F8,RP1,,,,,,,,
,,,,F9,,,,,,,,,,,,,F9,0,0,10,25,50,75,,F9,0,0,,,,F6,F9,M1,M4,RP2,RP1,,,,,,,,
,,,,F10,,,,,,,,,,,,,F10,0,0,5,20,40,70,,F10,0,0,,,,M5,F9,F10,F6,M2,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F6,M5,F9,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M4,F6,F6,M1,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M5,F10,F8,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,BN,M5,F7,F9,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,F9,M3,M5,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,F9,F10,F10,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F9,F9,F9,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F8,WD,F9,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F10,F6,M3,BN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F6,M1,M5,F10,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M2,M4,M5,M4,F10,,,,,,,,
