screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,required sc,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,game
33888,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,SC-mini,0,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,,15,,FALSE,,M3,M4,F9,F9,F6,1,1,1,1,1,,FALSE,,M3,M4,F9,F9,F6,1,1,1,1,1,,FALSE,,M3,M4,F9,F9,F6,1,1,1,1,1,,FALSE,,M3,M4,F9,F9,F6,1,1,1,1,1,,FALSE,,M3,M4,F9,F9,F6,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,200,,RP2,,SC-minor,1,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,50,200,400,,M1,10,0,0,0,0,0,0,,30,,,,M4,F5,RP1,RP2,F6,,,,,,,,,M4,F5,RP1,RP2,F6,,,,,,,,,M4,F5,RP1,RP2,F6,,,,,,,,,M4,F5,RP1,RP2,F6,,,,,,,,,M4,F5,RP1,RP2,F6,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,300,,RP3,,SC-major,2,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,40,100,300,,M2,25,0,0,0,0,0,0,,45,,,,WD,M2,RP1,F9,F5,,,,,,,,,WD,M2,RP1,F9,F5,,,,,,,,,WD,M2,RP1,F9,F5,,,,,,,,,WD,M2,RP1,F9,F5,,,,,,,,,WD,M2,RP1,F9,F5,,,,,,,
,,,,M3,,,,,,,SC4,400,,RP4,,,,,,,,,,,,,,,,M3,0,0,25,75,200,,M3,25,0,0,0,0,0,0,,60,,,,F7,F6,F8,RP2,F6,,,,,,,,,F7,F6,F8,RP2,F6,,,,,,,,,F7,F6,F8,RP2,F6,,,,,,,,,F7,F6,F8,RP2,F6,,,,,,,,,F7,F6,F8,RP2,F6,,,,,,,
,,,,M4,,,,,,,SC5,500,,RP5,,,,,,,,,,,,,,,,M4,0,0,25,75,175,,M4,25,0,0,0,0,0,0,,,,,,F9,WD,F5,F9,F8,,,,,,,,,F9,WD,F5,F9,F8,,,,,,,,,F9,WD,F5,F9,F8,,,,,,,,,F9,WD,F5,F9,F8,,,,,,,,,F9,WD,F5,F9,F8,,,,,,,
,,,,F5,,,,,,,SC8,800,,RP6,,,,,,,,,,,,,,,,F5,0,0,10,35,100,,F5,100,0,0,0,0,0,0,,,,,,F8,F7,F8,RP1,F5,,,,,,,,,F8,F7,F8,RP1,F5,,,,,,,,,F8,F7,F8,RP1,F5,,,,,,,,,F8,F7,F8,RP1,F5,,,,,,,,,F8,F7,F8,RP1,F5,,,,,,,
,,,,F6,,,,,,,SC10,1000,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,35,75,,F6,100,0,0,0,0,0,0,,,,,,BN,M2,RP1,F7,F9,,,,,,,,,BN,M2,RP1,F7,F9,,,,,,,,,BN,M2,RP1,F7,F9,,,,,,,,,BN,M2,RP1,F7,F9,,,,,,,,,BN,M2,RP1,F7,F9,,,,,,,
,,,,F7,,,,,,,SC25,2500,,,,,,,,,,,,,,,,,,F7,0,0,10,35,75,,F7,100,0,0,0,0,0,0,,,,,,F6,M1,F9,F6,F9,,,,,,,,,F6,M1,F9,F6,F9,,,,,,,,,F6,M1,F9,F6,F9,,,,,,,,,F6,M1,F9,F6,F9,,,,,,,,,F6,M1,F9,F6,F9,,,,,,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,10,35,,F8,100,0,0,0,0,0,0,,,,,,F8,F9,M1,RP1,RP2,,,,,,,,,F8,F9,M1,RP1,RP2,,,,,,,,,F8,F9,M1,RP1,RP2,,,,,,,,,F8,F9,M1,RP1,RP2,,,,,,,,,F8,F9,M1,RP1,RP2,,,,,,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,10,35,,F9,100,0,0,0,0,0,0,,,,,,WD,WD,M3,F7,RP6,,,,,,,,,WD,WD,M3,F7,RP6,,,,,,,,,WD,WD,M3,F7,RP6,,,,,,,,,WD,WD,M3,F7,RP6,,,,,,,,,WD,WD,M3,F7,RP6,,,,,,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,F10,0,0,0,0,0,0,0,,,,,,F5,F7,M3,F5,RP3,,,,,,,,,F5,F7,M3,F5,RP3,,,,,,,,,F5,F7,M3,F5,RP3,,,,,,,,,F5,F7,M3,F5,RP3,,,,,,,,,F5,F7,M3,F5,RP3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC1,200,200,200,200,200,200,410,,,,,,F5,M4,F9,F5,RP7,,,,,,,,,F5,M4,F9,F5,RP7,,,,,,,,,F5,M4,F9,F5,RP7,,,,,,,,,F5,M4,F9,F5,RP7,,,,,,,,,F5,M4,F9,F5,RP7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC2,200,200,200,200,200,200,0,,,,,,M1,F9,RP1,RP3,RP5,,,,,,,,,M1,F9,RP1,RP3,RP5,,,,,,,,,M1,F9,RP1,RP3,RP5,,,,,,,,,M1,F9,RP1,RP3,RP5,,,,,,,,,M1,F9,RP1,RP3,RP5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC3,100,100,100,100,100,100,0,,,,,,F9,BN,F8,RP4,F6,,,,,,,,,F9,BN,F8,RP4,F6,,,,,,,,,F9,BN,F8,RP4,F6,,,,,,,,,F9,BN,F8,RP4,F6,,,,,,,,,F9,BN,F8,RP4,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC4,50,50,50,50,50,50,0,,,,,,WD,F8,M2,RP5,F9,,,,,,,,,WD,F8,M2,RP5,F9,,,,,,,,,WD,F8,M2,RP5,F9,,,,,,,,,WD,F8,M2,RP5,F9,,,,,,,,,WD,F8,M2,RP5,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5,25,25,25,25,25,25,0,,,,,,F7,F9,M4,RP6,F7,,,,,,,,,F7,F9,M4,RP6,F7,,,,,,,,,F7,F9,M4,RP6,F7,,,,,,,,,F7,F9,M4,RP6,F7,,,,,,,,,F7,F9,M4,RP6,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,10,10,10,10,10,10,0,,,,,,F5,F7,F7,F9,M4,,,,,,,,,F5,F7,F7,F9,M4,,,,,,,,,F5,F7,F7,F9,M4,,,,,,,,,F5,F7,F7,F9,M4,,,,,,,,,F5,F7,F7,F9,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10,5,5,5,5,5,5,0,,,,,,BN,WD,RP1,F8,M3,,,,,,,,,BN,WD,RP1,F8,M3,,,,,,,,,BN,WD,RP1,F8,M3,,,,,,,,,BN,WD,RP1,F8,M3,,,,,,,,,BN,WD,RP1,F8,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC25,0,0,0,0,0,0,0,,,,,,F6,F8,F7,M2,F7,,,,,,,,,F6,F8,F7,M2,F7,,,,,,,,,F6,F8,F7,M2,F7,,,,,,,,,F6,F8,F7,M2,F7,,,,,,,,,F6,F8,F7,M2,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-mini,0,0,0,0,0,0,200,,,,,,F9,M3,M2,M4,M2,,,,,,,,,F9,M3,M2,M4,M2,,,,,,,,,F9,M3,M2,M4,M2,,,,,,,,,F9,M3,M2,M4,M2,,,,,,,,,F9,M3,M2,M4,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-minor,0,0,0,0,0,0,100,,,,,,WD,F5,F6,F6,F9,,,,,,,,,WD,F5,F6,F6,F9,,,,,,,,,WD,F5,F6,F6,F9,,,,,,,,,WD,F5,F6,F6,F9,,,,,,,,,WD,F5,F6,F6,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-major,0,0,0,0,0,0,19,,,,,,F6,BN,RP1,M1,F8,,,,,,,,,F6,BN,RP1,M1,F8,,,,,,,,,F6,BN,RP1,M1,F8,,,,,,,,,F6,BN,RP1,M1,F8,,,,,,,,,F6,BN,RP1,M1,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F6,F6,M1,,,,,,,,,F7,F6,F6,F6,M1,,,,,,,,,F7,F6,F6,F6,M1,,,,,,,,,F7,F6,F6,F6,M1,,,,,,,,,F7,F6,F6,F6,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,RP1,M3,M1,,,,,,,,,M3,M3,RP1,M3,M1,,,,,,,,,M3,M3,RP1,M3,M1,,,,,,,,,M3,M3,RP1,M3,M1,,,,,,,,,M3,M3,RP1,M3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F9,F8,F8,,,,,,,,,F6,F7,F9,F8,F8,,,,,,,,,F6,F7,F9,F8,F8,,,,,,,,,F6,F7,F9,F8,F8,,,,,,,,,F6,F7,F9,F8,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,WD,F6,M1,RP1,,,,,,,,,WD,WD,F6,M1,RP1,,,,,,,,,WD,WD,F6,M1,RP1,,,,,,,,,WD,WD,F6,M1,RP1,,,,,,,,,WD,WD,F6,M1,RP1,,,,,,,
