screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
44444,,40 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD-4A,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,M1,1,,FALSE,,F8,F7,M4,F8,F6,,gots000
,,,,M1,,,,,,,,,,,,WD-4B,1,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M1,0,0,60,125,350,,M2,0,,,,F8,M2,F5,M2,M3,,do not remove this last column
,,,,M2,,,,,,,,,,,,WD-4C,2,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M2,0,0,50,100,300,,M3,0,,,,F6,F6,F9,RP1,F5,,
,,,,M3,,,,,,,,,,,,WD-4D,3,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M3,0,0,40,80,225,,M4,0,,,,F9,M3,F8,RP1,F9,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,30,60,200,,F5,0,,,,F6,F5,F8,RP1,F5,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,f5,0,0,5,35,100,,F6,0,,,,F9,F8,M4,RP1,M1,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,5,35,100,,F7,0,,,,M1,F9,F7,RP1,M3,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,35,100,,F8,0,,,,F5,F7,M1,RP1,M1,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,35,100,,F9,0,,,,F7,F8,F9,RP1,M4,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,35,100,,F10,0,,,,F5,WD-4A,M3,RP1,M2,,
