screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN,,SC1,0,,RP1,,WD1,0,TRUE,TRUE,1,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,FALSE,,F9,M2,M3,F9,M2,,TRUE,,F9,M2,M3,F9,M2,0,0,0,1,1,,gots000
,,,,M1,,,,,,,,,,RP2,,WD2,1,TRUE,TRUE,1,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,25,100,250,,M1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,F7,F8,F9,RP7,M3,,,,F7,F8,F9,RP11,M3,0,0,0,1,1,,do not remove this last column
,,,,M2,,,,,,,,,,RP3,,WD3,2,TRUE,TRUE,1,FALSE,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,25,100,250,,M2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,RP1,RP1,M1,RP7,M1,,,,RP2,RP2,RP4,RP7,M1,1,1,1,1,1,,
,,,,M3,,,,,,,,,,RP4,,WD4,3,TRUE,TRUE,1,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,25,100,250,,M3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,RP1,RP1,M5,RP7,M2,,,,RP2,RP2,RP4,RP8,M2,1,1,1,1,1,,
,,,,M4,,,,,,,,,,RP5,,WD5,4,TRUE,TRUE,1,FALSE,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,10,50,150,,M4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F8,RP1,F8,F8,F8,,,,F8,RP2,RP4,F8,F8,1,1,1,1,1,,
,,,,M5,,,,,,,,,,RP6,,WD6,5,TRUE,TRUE,1,FALSE,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,10,50,150,,M5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M3,F6,M1,F6,RP13,,,,M3,F6,F7,F6,RP12,1,1,1,1,1,,
,,,,F6,,,,,,,,,,RP7,,WD7,6,TRUE,TRUE,1,FALSE,250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,5,25,100,,F6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M5,M4,F7,M5,RP13,,,,M5,M4,M1,M5,RP12,0,1,1,1,1,,
,,,,F7,,,,,,,,,,RP8,,WD8,7,TRUE,TRUE,1,FALSE,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,5,25,100,,F7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F6,M5,M2,F7,RP13,,,,F6,M5,M2,F7,RP12,0,0,0,1,1,,
,,,,F8,,,,,,,,,,RP9,,WD9,8,TRUE,TRUE,1,FALSE,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,5,25,100,,F8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,RP1,F7,M3,M3,RP12,,,,M2,F7,M3,M3,RP12,0,0,0,1,1,,
,,,,F9,,,,,,,,,,RP10,,WD10,9,TRUE,TRUE,1,FALSE,500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,5,25,100,,F9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,F9,M3,F10,F6,RP12,,,,F9,M3,F10,F6,RP12,0,0,0,1,1,,
