screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,actual hits threshold,multiplier defaults to,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
55555,,25,,ways,,WD,,WD,1,,BN,,SC1,50,,RP1,,SCJ1,6,FALSE,FALSE,1,TRUE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,SC1,5,5,5,5,0,0,0,0,0,0,,10,SC2,,TRUE,,BL,BL,BL,BL,BL,BL,RP1,RP1,RP1,BL,BL,RP1,RP1,RP1,BL,BL,RP1,RP1,RP1,BL,BL,BL,BL,BL,BL,3,100,3,100,3,100,1,1,1,100,3,1,1,1,3,100,1,1,1,100,3,100,3,100,3,,TRUE,,BL,BL,BL,BL,BL,BL,RP1,RP1,RP1,BL,BL,RP1,RP1,RP1,BL,BL,RP1,RP1,RP1,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,1,1,1,200,200,1,1,1,200,200,1,1,1,200,200,200,200,200,200,,gots000
,,,,,,M1,,,,,,,SC2,100,,RP2,,SCJ2,7,FALSE,FALSE,1,TRUE,1500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,75,250,500,,SC2,5,5,5,5,0,0,0,0,0,0,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,3,100,3,100,3,100,6,1,6,100,3,1,0,1,3,100,6,1,6,100,3,100,3,100,3,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,90,80,90,200,200,80,0,80,200,200,90,80,90,200,200,200,200,200,200,,do not remove this last column
,,,,,,M2,,,,,,,SC3,150,,RP3,,SCJ3,8,FALSE,FALSE,1,TRUE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,50,200,400,,SC3,5,5,5,5,0,0,0,0,0,0,,,,,,,BL,BL,BL,BL,BL,BL,RP2,RP2,RP2,BL,BL,RP2,BL,RP2,BL,BL,RP2,RP2,RP2,BL,BL,BL,BL,BL,BL,3,100,3,100,3,100,1,1,1,100,3,1,0,1,3,100,1,1,1,100,3,100,3,100,3,,,,BL,BL,BL,BL,BL,BL,RP2,RP2,RP2,BL,BL,RP2,BL,RP2,BL,BL,RP2,RP2,RP2,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,1,1,1,200,200,1,0,1,200,200,1,1,1,200,200,200,200,200,200,,
,,,,,,M3,,,,,,,SC4,200,,RP4,,SCJ4,9,FALSE,FALSE,1,TRUE,5000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M3,0,0,30,150,300,,SC4,5,5,5,5,10,10,10,10,0,0,,,,,,,RP7,RP8,RP7,RP8,RP7,RP8,BL,BL,BL,RP8,RP7,BL,BL,BL,RP7,RP8,BL,BL,BL,RP8,RP7,RP8,RP7,RP8,RP7,3,1,3,1,3,1,6,1,6,1,3,1,0,1,3,1,6,1,6,1,3,1,3,1,3,,,,RP7,RP8,RP7,RP8,RP7,RP8,BL,BL,BL,RP8,RP7,BL,BL,BL,RP7,RP8,BL,BL,BL,RP8,RP7,RP8,RP7,RP8,RP7,1,1,1,1,1,1,90,80,90,1,1,80,0,80,1,1,90,80,90,1,1,1,1,1,1,,
,,,,,,M4,,,,,,,SC5,250,,RP5,,SCM2,10,FALSE,FALSE,2,TRUE,100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M4,0,0,20,100,200,,SC5,3,3,3,3,5,5,5,5,0,0,,,,,,,SCM2,RP3,SCM2,RP3,SCM2,RP3,BL,BL,BL,RP3,SCM2,BL,BL,BL,SCM2,RP3,BL,BL,BL,RP3,SCM2,RP3,SCM2,RP3,SCM2,7,1,7,1,7,1,6,1,6,1,7,1,0,1,7,1,6,1,6,1,7,1,7,1,7,,,,SCM2,RP3,SCM2,RP3,SCM2,RP3,BL,BL,BL,RP3,SCM2,BL,BL,BL,SCM2,RP3,BL,BL,BL,RP3,SCM2,RP3,SCM2,RP3,SCM2,1,1,1,1,1,1,90,80,90,1,1,80,0,80,1,1,90,80,90,1,1,1,1,1,1,,
,,,,,,F5,,,,,,,SC6,300,,RP6,,,,,,,,,,,,,,,,F5,0,0,10,50,100,,SC6,3,3,3,3,4,4,4,4,0,0,,,,,,,BL,BL,BL,BL,BL,BL,RP3,RP3,RP3,BL,BL,RP3,BL,RP3,BL,BL,RP3,RP3,RP3,BL,BL,BL,BL,BL,BL,90,100,90,100,90,100,1,1,1,100,90,1,0,1,90,100,1,1,1,100,90,100,90,100,90,,,,BL,BL,BL,BL,BL,BL,RP3,RP3,RP3,BL,BL,RP3,BL,RP3,BL,BL,RP3,RP3,RP3,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,1,1,1,200,200,1,0,1,200,200,1,1,1,200,200,200,200,200,200,,
,,,,,,F6,,,,,,,SC7,350,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,50,100,,SC7,0,0,0,0,1,1,1,1,100,0,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,90,100,90,100,90,100,6,1,6,100,90,1,0,1,90,100,6,1,6,100,90,100,90,100,90,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,90,80,90,200,200,80,0,80,200,200,90,80,90,200,200,200,200,200,200,,
,,,,,,F7,,,,,,,SC8,400,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,50,100,,SC8,0,0,0,0,1,1,1,1,40,0,,,,,,,BL,RP10,BL,RP10,BL,RP10,BL,BL,BL,RP10,BL,BL,BL,BL,BL,RP10,BL,BL,BL,RP10,BL,RP10,BL,RP10,BL,20,1,20,1,20,1,1,1,1,1,20,1,0,1,20,1,1,1,1,1,20,1,20,1,20,,,,BL,RP10,BL,RP10,BL,RP10,BL,BL,BL,RP10,BL,BL,BL,BL,BL,RP10,BL,BL,BL,RP10,BL,RP10,BL,RP10,BL,200,1,200,1,200,1,1,80,1,1,200,80,0,80,200,1,1,80,1,1,200,1,200,1,200,,
,,,,,,F8,,,,,,,SC9,500,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,50,100,,SC9,0,0,0,0,1,1,1,1,15,0,,,,,,,RP4,RP7,RP4,RP7,RP4,RP7,RP4,RP4,RP4,RP7,RP4,RP4,BL,RP4,RP4,RP7,RP4,RP4,RP4,RP7,RP4,RP7,RP4,RP7,RP4,2,1,2,1,2,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,2,1,2,1,2,,,,RP4,RP7,RP4,RP7,RP4,RP7,RP4,RP4,RP4,RP7,RP4,RP4,BL,RP4,RP4,RP7,RP4,RP4,RP4,RP7,RP4,RP7,RP4,RP7,RP4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,50,100,,SCJ1,0,0,0,0,0,0,0,0,5,10,,,,,,,RP9,SCM2,RP9,SCM2,RP9,SCM2,BL,BL,BL,SCM2,RP9,BL,BL,BL,RP9,SCM2,BL,BL,BL,SCM2,RP9,SCM2,RP9,SCM2,RP9,2,1,2,1,2,1,6,1,6,1,2,1,0,1,2,1,6,1,6,1,2,1,2,1,2,,,,RP9,SCM2,RP9,SCM2,RP9,SCM2,BL,BL,BL,SCM2,RP9,BL,BL,BL,RP9,SCM2,BL,BL,BL,SCM2,RP9,SCM2,RP9,SCM2,RP9,1,1,1,1,1,1,90,80,90,1,1,80,0,80,1,1,90,80,90,1,1,1,1,1,1,,
