screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,add krakens?,,rp pools,,krakens,kraken probs,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,weights rp18,weights rp19,weights rp20,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,25,,RP1,,SC-MINI,0,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,1,,12,,SC4,5,,SC1,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,F9,RP18,M3,M5,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,50,,RP2,,SC-MINOR,1,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,100,250,750,,1,,12,,SC5,5,,SC2,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP1,M4,M4,M3,M2,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,75,,RP3,,SC-MAJOR,2,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,50,200,600,,,,13,,SC6,5,,SC3,8,8,8,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M4,RP12,RP6,RP6,M3,,,,,,,
,,,,M3,,,,,,,SC4,100,,RP4,,,,,,,,,,,,,,,,M3,0,0,40,150,500,,,,13,,SC7,5,,SC4,7,7,7,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M1,RP18,RP5,RP4,F9,,,,,,,
,,,,M4,,,,,,,SC5,200,,RP5,,,,,,,,,,,,,,,,M4,0,0,20,100,400,,,,14,,SC8,1,,SC5,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,RP12,F6,M5,RP18,BN,,,,,,,
,,,,M5,,,,,,,SC6,300,,RP6,,,,,,,,,,,,,,,,F5,0,0,10,75,300,,,,14,,SC9,1,,SC6,0,0,0,4,4,4,4,10,10,10,85,0,0,0,0,0,0,0,0,0,,,,RP15,WD,M5,F6,M5,,,,,,,
,,,,F6,,,,,,,SC7,400,,RP7,,,,,,,,,,,,,,,,F6,0,0,5,50,100,,,,15,,,,,SC7,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,,,,RP12,F8,WD,F10,F8,,,,,,,
,,,,F7,,,,,,,SC8,500,,RP8,,,,,,,,,,,,,,,,F7,0,0,5,50,100,,,,15,,,,,SC8,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,,,,F6,RP1,M2,M2,M2,,,,,,,
,,,,F8,,,,,,,SC9,800,,RP9,,,,,,,,,,,,,,,,F8,0,0,5,50,100,,,,16,,,,,SC9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,F7,RP18,F8,M3,M5,,,,,,,
,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,5,50,100,,,,16,,,,,SC-MINI,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,,,RP15,RP2,RP12,F6,WD,,,,,,,
