screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,,FALSE,,F9,M2,M3,M3,M2,,,,,,,gots000
,,,,M1-A,,,,,,,,,,,,M1-A,0,0,200,500,1000,,M1,1,,,,F7,F6,M5,M5,F8,,,,,,,do not remove this last column
,,,,M1,,,,,,,,,,,,M1,0,0,100,200,500,,M2,6,,,,M2,M4,F10,M2,M1,,,,,,,
,,,,M2,,,,,,,,,,,,M2,0,0,50,150,300,,M3,6,,,,F10,M3,M1,F8,M1,,,,,,,
,,,,M3,,,,,,,,,,,,M3,0,0,40,100,250,,M4,6,,,,F8,F9,F8,F6,M1,,,,,,,
,,,,M4,,,,,,,,,,,,M4,0,0,40,100,250,,M5,6,,,,M3,WD,M5,F6,F10,,,,,,,
,,,,M5,,,,,,,,,,,,M5,0,0,40,100,250,,F6,3,,,,M4,M2,M2,WD,BN,,,,,,,
,,,,F6,,,,,,,,,,,,F6,0,0,10,50,100,,F7,3,,,,F6,M5,F7,F10,M2,,,,,,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,50,100,,F8,3,,,,BN,F10,WD,M3,F10,,,,,,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,50,100,,F9,2,,,,F9,RP1,M3,F6,WD,,,,,,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,50,100,,F10,2,,,,M5,F9,M5,RP1,M2,,,,,,,
,,,,F10,,,,,,,,,,,,F10,0,0,10,50,100,,,,,,,M2,M4,RP1,RP1,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,RP1,F6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F7,M5,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,M1,F7,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,F6,BN,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,M2,M3,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M5,F9,M5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,BN,BN,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,M4,M4,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,M2,F6,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M2,F6,M2,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,WD,F7,WD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,M4,M1,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,F7,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,M1,M1,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,RP1,F9,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,BN,F10,M4,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M5,M3,F10,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M2,F8,F8,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,BN,M2,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,F6,F7,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M1,F9,WD,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,M1,F8,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F7,M4,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F10,F9,WD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,WD,RP1,RP1,M3,,,,,,,
