screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,rp pool reel 2,rp pool reel 3,rp pool reel 4,rp pool reel 5,,extra chiefs,extra chief probs reel 2,extra chief probs reel 3,extra chief probs reel 4,extra chief probs reel 5,,chief,bn replacements,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,weights rp18,weights rp19,weights rp20,weights rp21,weights rp22,weights rp23,weights rp24,weights rp25,weights rp26,weights rp27,weights rp28,weights rp29,weights rp30,weights rp31,weights rp32,weights rp33,weights rp34,weights rp35,weights rp36,weights rp37,weights rp38,weights rp39,weights rp40,weights rp41,weights rp42,weights rp43,weights rp44,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,0,,RP1,,WD,0,0,0,0,0,,5,15,25,35,,25,1,1,1,1,,WM1,F9,,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,F9,F6,F6,F6,F6,,,,,,,gots000
,,,,WM1,,W2,2,,BN1,,,,,RP2,,WM1,0,100,200,500,1000,,9,19,29,39,,15,1,1,1,1,,,,,M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,F7,WM1,WM1,WM1,WM1,,,,,,,do not remove this last column
,,,,M1,,W3,3,,BN2,,,,,RP3,,M1,0,50,100,200,500,,10,20,30,40,,10,1,1,1,1,,,,,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,WM1,F7,F7,F7,M2,,,,,,,
,,,,M2,,W4,4,,BN3,,,,,RP4,,M2,0,0,50,150,300,,12,22,32,42,,,,,,,,,,,M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,F10,F9,F9,F9,M3,,,,,,,
,,,,M3,,W5,5,,BN4,,,,,RP5,,M3,0,0,40,100,250,,13,23,33,43,,,,,,,,,,,M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,F8,F9,F9,F9,F9,,,,,,,
,,,,M4,,,,,BN5,,,,,RP6,,M4,0,0,40,100,250,,14,24,34,44,,,,,,,,,,,F6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,M3,RP1,RP2,RP3,RP4,,,,,,,
,,,,M5,,,,,,,,,,RP7,,M5,0,0,40,100,250,,,,,,,,,,,,,,,,F7,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,M4,F10,F10,F10,F10,,,,,,,
,,,,F6,,,,,,,,,,RP8,,F6,0,0,10,50,100,,,,,,,,,,,,,,,,F8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,F6,F8,F8,F8,M4,,,,,,,
,,,,F7,,,,,,,,,,RP9,,F7,0,0,10,50,100,,,,,,,,,,,,,,,,F9,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,BN1,M2,M2,M2,M2,,,,,,,
,,,,F8,,,,,,,,,,RP10,,F8,0,0,10,50,100,,,,,,,,,,,,,,,,F10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,F9,RP9,RP19,RP29,RP39,,,,,,,
,,,,F9,,,,,,,,,,RP11,,F9,0,0,10,50,100,,,,,,,,,,,,,,,,W2,60,60,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M5,F9,F9,F9,F9,,,,,,,
,,,,F10,,,,,,,,,,RP12,,F10,0,0,10,50,100,,,,,,,,,,,,,,,,W3,8,8,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M2,M4,M4,M4,M4,,,,,,,
,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,W4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,F10,M1,M1,M1,M1,,,,,,,
,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,W5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,M1,F10,F10,F10,M1,,,,,,,
,,,,,,,,,,,,,,RP15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M1,F6,M1,,,,,,,
,,,,,,,,,,,,,,RP16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F8,F8,F8,,,,,,,
,,,,,,,,,,,,,,RP17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F10,F10,M5,,,,,,,
,,,,,,,,,,,,,,RP18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WM1,M5,M5,M5,,,,,,,
,,,,,,,,,,,,,,RP19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,F6,F6,M4,,,,,,,
,,,,,,,,,,,,,,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,M4,M4,M4,,,,,,,
,,,,,,,,,,,,,,RP21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,F7,F7,F7,,,,,,,
,,,,,,,,,,,,,,RP22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WM1,RP2,RP3,M1,,,,,,,
,,,,,,,,,,,,,,RP23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM1,F8,F8,F8,F8,,,,,,,
,,,,,,,,,,,,,,RP24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F10,F10,M5,,,,,,,
,,,,,,,,,,,,,,RP25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP10,RP20,RP30,RP40,,,,,,,
,,,,,,,,,,,,,,RP26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP8,RP18,RP28,RP38,,,,,,,
