screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,max all win multiplier,tr symbol replacement,qh mystery multiplier,qh mystery multiplier weights,quick hit numbers,quick hit prizes,enable all win multiplier,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC,0,,RP1,,WD,0,0,0,0,0,,M1,4,,TR,0,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,5,M1,1,20,5,500,FALSE,,FALSE,,F9,M2,M3,M3,M2,1,1,1,1,1,,gots000
,,,,M1,,,,,,,,,,,,M1,0,0,50,200,500,,M2,4,,,,,,,,,,,,,,,,,,2,6,6,700,,,,,M5,F8,F9,M5,F8,,,,,,,do not remove this last column
,,,,M2,,,,,,,,,,,,M2,0,0,30,150,300,,M3,4,,,,,,,,,,,,,,,,,,3,6,7,1000,,,,,M4,M4,M3,M1,BN,,,,,,,
,,,,M3,,,,,,,,,,,,M3,0,0,25,125,250,,M4,4,,,,,,,,,,,,,,,,,,4,5,8,2500,,,,,M1,F9,F6,F8,F7,,,,,,,
,,,,M4,,,,,,,,,,,,M4,0,0,20,100,200,,M5,4,,,,,,,,,,,,,,,,,,5,4,9,10000,,,,,M3,M3,BN,M4,M4,,,,,,,
,,,,M5,,,,,,,,,,,,M5,0,0,20,100,200,,F6,1,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F9,F6,M5,,,,,,,
,,,,F6,,,,,,,,,,,,F6,0,0,15,75,150,,F7,1,,,,,,,,,,,,,,,,,,,,,,,,,,BN,SC,M2,M2,M1,,,,,,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,40,100,,F8,1,,,,,,,,,,,,,,,,,,,,,,,,,,F6,SC,F7,F7,M2,,,,,,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,40,100,,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,WD,M3,RP1,,,,,,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,40,100,,F10,1,,,,,,,,,,,,,,,,,,,,,,,,,,SC,RP1,M3,F6,RP1,,,,,,,
,,,,F10,,,,,,,,,,,,F10,0,0,10,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,M5,RP1,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F7,M5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,RP1,M1,M4,,,,,,,
