screen size,mixed pays,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,,mutator values,weights rp1,,wheel values,wheel weights,jackpot list,,reels 0 weighted,,reels 0,reels 0,reels 0,weights,weights,weights,,game
333,TRUE,5 lines 333,,WD,,WD,1,,BN,,SC1,0,,RP1,,WD-MINI,1,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,,WD-MAJOR,1,,50000,2,1500,,TRUE,,F6,F4,F5,25,10,50,,gots000
,,,,M1,,,,,,,,,,,,WD-MINOR,2,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,1000,,WD-MINOR,5,,1000,21,2500,,,,BL,BL,BL,10,10,10,,do not remove this last column
,,,,M2,,,,,,,,,,,,WD-MAJOR,3,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M2,0,0,750,,WD-MINI,35,,2250,8,5000,,,,BN,F5,M1,25,10,10,,
,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,M3,0,0,500,,,,,1500,8,50000,,,,BL,BL,BL,25,10,10,,
,,,,WM,,,,,,,,,,,,,,,,,,,,,,,,,,WM,0,0,250,,,,,1350,8,,,,,M2,BN,WD-MINI,25,25,25,,
,,,,F4,,,,,,,,,,,,,,,,,,,,,,,,,,F5,0,0,100,,,,,5000,21,,,,,BL,BL,BL,10,25,25,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,75,,,,,2100,8,,,,,F5,F5,F6,10,25,25,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,50,,,,,1750,8,,,,,BL,BL,BL,10,10,10,,
,,,,WF,,,,,,,,,,,,,,,,,,,,,,,,,,WF,0,0,10,,,,,1550,8,,,,,WD-MAJOR,M1,M1,50,10,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,8,,,,,BL,BL,BL,10,10,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,8,,,,,F6,WD-MAJOR,BN,50,30,20,,
