screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,yes weights bns,no weights bns,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN1,,SC1,0,,RP1,,TW,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,5,0,0,0,0,0,,141,9859,,FALSE,,F5,F9,M2,M2,F5,,,,,,,gots000
,,,,M1,,,,,BN2,,,,,RP2,,,,,,,,,,,,,,,,M1,0,0,0,0,0,,M1,2,1,0,0,0,0,0,,776,9224,,,,F5,M3,F10,F6,RP1,,,,,,,do not remove this last column
,,,,M2,,,,,BN3,,,,,RP3,,,,,,,,,,,,,,,,M2,0,0,50,150,500,,M2,2,1,0,0,0,0,0,,,,,,,F10,RP1,F9,F7,RP1,,,,,,,
,,,,M3,,,,,,,,,,RP4,,,,,,,,,,,,,,,,M3,0,0,25,100,250,,M3,2,1,0,0,0,0,0,,,,,,,RP3,RP1,M1,M3,F8,,,,,,,
,,,,M4,,,,,,,,,,RP5,,,,,,,,,,,,,,,,M4,0,0,25,100,250,,M4,2,1,0,0,0,0,0,,,,,,,F8,RP1,M4,WD,M1,,,,,,,
,,,,F5,,,,,,,,,,RP6,,,,,,,,,,,,,,,,M5,0,0,10,50,150,,F5,1,0,0,0,0,0,0,,,,,,,M4,M4,F7,F9,F7,,,,,,,
,,,,F6,,,,,,,,,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,50,150,,F6,1,0,0,0,0,0,0,,,,,,,F6,F10,WD,M4,M2,,,,,,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,35,100,,F7,1,0,0,0,0,0,0,,,,,,,M2,WD,F10,M2,F6,,,,,,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,35,100,,F8,1,0,0,0,0,0,0,,,,,,,F9,F8,F5,F10,M4,,,,,,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,35,100,,F9,1,0,0,0,0,0,0,,,,,,,M4,F8,F10,M3,F5,,,,,,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,35,100,,F10,1,0,0,0,0,0,0,,,,,,,F8,M1,F7,F9,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN1,0,0,1,1,1,1,1,,,,,,,F5,F10,F8,M1,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN2,0,0,1,1,1,1,1,,,,,,,F7,F5,M3,F6,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN3,0,0,1,1,1,1,1,,,,,,,M1,F9,RP1,F5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,RP1,F8,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,RP1,M2,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP4,F10,F7,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F6,RP2,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F8,RP2,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,F5,RP2,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,RP2,RP1,F8,,,,,,,
