screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,,yes weights bns,no weights bns,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,reels 6 weighted,,reels 6,reels 6,reels 6,reels 6,reels 6,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN4,,SC1,0,,RP1,,TW,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,141,9859,,1,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,FALSE,,F9,M2,M3,F9,M2,,,,,,,gots000
,,,,M1,,W2,2,,,,,,,RP2,,WD1,0,TRUE,TRUE,1,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M1,0,0,100,250,1000,,M1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,776,9224,,0,,,,F7,F8,RP2,M2,M3,,,,,,,,,F7,F8,F9,RP9,M3,,,,,,,,,F7,F8,F9,RP9,M3,,,,,,,,,F7,F8,F9,RP2,M3,,,,,,,,,F7,F8,F9,F8,M3,,,,,,,,,F7,F8,F9,RP9,M3,,,,,,,,,F7,F8,F9,RP9,M3,,,,,,,do not remove this last column
,,,,M2,,W3,3,,,,,,,RP3,,WD2,1,TRUE,TRUE,1,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M2,0,0,50,150,500,,M2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,RP2,RP2,M1,M1,M1,,,,,,,,,RP1,RP1,RP8,RP9,M1,,,,,,,,,RP1,RP1,M1,RP9,M1,,,,,,,,,RP2,F6,M1,F8,M1,,,,,,,,,RP2,RP2,M1,F6,M1,,,,,,,,,RP1,RP1,M1,RP9,M1,,,,,,,,,RP1,RP1,M1,RP9,M1,,,,,,,
,,,,M3,,W4,4,,,,,,,RP4,,WD3,2,TRUE,TRUE,1,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M3,0,0,25,100,250,,M3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,F9,RP2,F5,F10,M2,,,,,,,,,F6,RP1,F5,RP9,M2,,,,,,,,,RP1,RP1,F5,RP9,M2,,,,,,,,,RP2,TW,F5,RP2,M2,,,,,,,,,RP2,RP2,F5,TW,M2,,,,,,,,,RP1,RP1,F5,RP9,M2,,,,,,,,,RP1,RP1,F5,RP9,M2,,,,,,,
,,,,M4,,W5,5,,,,,,,RP5,,WD4,3,TRUE,TRUE,1,FALSE,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M4,0,0,25,100,250,,M4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,F8,M3,F8,F8,M3,,,,,,,,,F8,F7,F8,F8,F8,,,,,,,,,F8,RP1,F8,F8,F8,,,,,,,,,F8,F7,F8,F8,F8,,,,,,,,,F8,RP2,F8,F8,F8,,,,,,,,,F8,RP1,F8,F8,F8,,,,,,,,,F8,RP1,F8,F8,F8,,,,,,,
,,,,F5,,,,,,,,,,RP6,,WD5,4,TRUE,TRUE,1,FALSE,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,M5,0,0,10,50,150,,F5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,M3,F6,RP4,F6,F6,,,,,,,,,M3,F6,RP1,F6,RP12,,,,,,,,,M3,F6,RP4,F6,RP12,,,,,,,,,M3,F6,TW,F6,RP2,,,,,,,,,M3,F6,RP4,F6,RP2,,,,,,,,,M3,F6,RP1,F6,RP12,,,,,,,,,M3,F6,RP4,F6,RP12,,,,,,,
,,,,F6,,,,,,,,,,RP7,,WD6,5,TRUE,TRUE,1,FALSE,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F6,0,0,10,50,150,,F6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,F5,RP3,F7,F5,M2,,,,,,,,,F5,M4,F7,F5,RP12,,,,,,,,,F5,M4,F7,F5,RP12,,,,,,,,,F5,M4,F7,F5,RP2,,,,,,,,,F5,RP3,F7,F5,RP2,,,,,,,,,F5,M4,F7,F5,RP12,,,,,,,,,F5,M4,F7,F5,RP12,,,,,,,
,,,,F7,,,,,,,,,,RP8,,WD7,6,TRUE,TRUE,1,FALSE,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F7,0,0,5,35,100,,F7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,M1,F5,M2,F7,M4,,,,,,,,,F6,F5,M2,F7,RP15,,,,,,,,,F6,F5,M2,F7,RP15,,,,,,,,,F6,F5,M2,F7,RP2,,,,,,,,,F6,F5,M2,F7,RP2,,,,,,,,,F6,F5,M2,F7,RP15,,,,,,,,,F6,F5,M2,F7,RP15,,,,,,,
,,,,F8,,,,,,,,,,RP9,,WD8,7,TRUE,TRUE,1,FALSE,500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F8,0,0,5,35,100,,F8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,RP2,F7,M3,M3,F9,,,,,,,,,RP1,RP1,M3,RP10,RP13,,,,,,,,,RP1,F7,M3,M3,RP13,,,,,,,,,RP2,F7,M3,M3,F5,,,,,,,,,RP2,F7,M3,M3,RP2,,,,,,,,,RP1,F7,M3,M3,RP13,,,,,,,,,RP1,F7,M3,M3,RP13,,,,,,,
,,,,F9,,,,,,,,,,RP10,,WD9,8,TRUE,TRUE,1,FALSE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F9,0,0,5,35,100,,F9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,F9,RP2,RP2,F6,M2,,,,,,,,,F9,M3,F10,F6,RP13,,,,,,,,,F9,M3,F10,F6,RP13,,,,,,,,,F9,M3,F10,F6,M3,,,,,,,,,F9,M3,F10,F6,RP2,,,,,,,,,F9,M3,F10,F6,RP13,,,,,,,,,F9,M3,F10,F6,RP13,,,,,,,
