screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,bonus trigger count,bonus trigger pay,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,multipliers 3,weights 3,multipliers 4,weights 4,multipliers 5,weights 5,,top prizes enabled,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,game
33333,,30 lines 33333,,WD,,WD,1,,BN,3,100,,SC1,50,,RP1,,WD3,0,TRUE,TRUE,1,FALSE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,0,0,0,0,0,0,0,0,,2,20,2,20,2,10,,FALSE,,237,,TRUE,,F7,F9,F6,F5,F8,20,20,20,25,25,,TRUE,,F7,F9,F6,F5,F8,0,0,0,1,1,,TRUE,,F7,F9,F6,F5,F8,0,0,0,0,0,,TRUE,,F7,F9,F6,M3,F8,0,0,0,0,0,,gots000
,,,,M1,,,,,,,,,SC2,60,,RP2,,,,,,,,,,,,,,,,M1,0,0,20,100,500,,M1,1,50,0,0,0,0,0,0,0,0,,3,2,3,3,3,5,,,,1,,,,F8,F6,F7,M3,F8,20,20,20,25,25,,,,F8,F6,F7,M3,F8,0,0,0,1,1,,,,F8,F6,F7,M3,F8,0,0,0,0,0,,,,F8,F6,F7,F5,F8,0,0,0,0,0,,do not remove this last column
,,,,M2,,,,,,,,,SC3,70,,RP3,,,,,,,,,,,,,,,,M2,0,0,20,100,500,,M2,1,50,0,0,0,0,0,0,0,0,,4,2,4,1,4,2,,,,2,,,,F9,F6,BN,F6,M4,20,20,20,25,25,,,,F9,F6,BN,F6,M4,0,0,0,1,1,,,,F9,F6,BN,F6,M4,0,0,0,0,0,,,,M2,F6,BN,F6,M4,0,0,0,0,0,,"0: regular (1,2 column sc)"
,,,,M3,,,,,,,,,SC4,75,,RP4,,,,,,,,,,,,,,,,M3,0,0,10,50,250,,M3,1,50,0,0,0,0,0,0,0,0,,5,1,5,1,5,1,,,,0,,,,F9,M3,F6,F8,F7,20,20,20,25,25,,,,F9,M3,F6,F8,F7,0,0,0,1,1,,,,F9,M3,F6,F8,F7,0,0,0,0,0,,,,F9,M3,F6,F8,F7,0,0,0,0,0,,1: frequent major blocks
,,,,M4,,,,,,,,,SC5,80,,RP5,,,,,,,,,,,,,,,,M4,0,0,10,50,250,,M4,1,50,0,0,0,0,0,0,0,0,,,,6,1,6,1,,,,,,,,BN,F5,F10,F6,M2,20,20,20,25,25,,,,BN,F5,F10,F6,M2,0,0,0,1,1,,,,BN,F5,F10,F6,M2,0,0,0,0,0,,,,M4,F5,F10,F6,M2,0,0,0,0,0,,2: frequent 4 column sc
,,,,F5,,,,,,,,,SC6,90,,RP6,,,,,,,,,,,,,,,,F5,0,0,5,10,100,,F5,0,0,0,0,0,0,0,0,0,0,,,,,,7,1,,,,,,,,F10,F5,F9,WD,F7,20,20,20,25,25,,,,F10,F5,F9,WD,F7,0,0,0,1,1,,,,F10,F5,F9,WD,F7,0,0,0,0,0,,,,F10,F5,F9,WD,F7,0,0,0,0,0,,3: frequent 5 column sc
,,,,F6,,,,,,,,,SC7,100,,RP7,,,,,,,,,,,,,,,,F6,0,0,5,10,100,,F6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,F8,RP1,RP1,F7,F10,20,10,10,25,25,,,,F8,RP1,RP1,F7,F10,0,0,0,1,1,,,,F8,RP2,RP2,F7,F10,0,0,0,0,0,,,,F8,WD,WD,F7,WD,0,0,0,0,0,,
,,,,F7,,,,,,,,,SC8,120,,RP8,,,,,,,,,,,,,,,,F7,0,0,5,10,100,,F7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,M4,RP1,RP1,M2,F9,20,10,10,25,25,,,,M4,RP1,RP1,M2,F9,0,0,0,1,1,,,,M4,RP2,RP2,M2,F9,0,0,0,0,0,,,,BN,F8,F6,M2,F9,0,0,0,0,0,,
,,,,F8,,,,,,,,,SC9,150,,RP9,,,,,,,,,,,,,,,,F8,0,0,5,10,100,,F8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,F8,RP1,RP1,F5,M3,20,10,10,25,25,,,,F8,RP1,RP1,F5,M3,0,1,1,1,1,,,,F8,RP2,RP2,F5,M3,0,1,1,0,0,,,,F8,F5,F8,F5,M3,0,0,0,0,0,,
,,,,F9,,,,,,,,,SC10,200,,RP10,,,,,,,,,,,,,,,,F9,0,0,5,10,100,,F9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,M3,RP1,RP1,F5,F6,20,10,10,25,25,,,,M3,RP1,RP1,F5,F6,0,1,1,1,1,,,,M3,RP2,RP2,F5,F6,0,1,1,0,0,,,,M3,M2,M3,F5,F6,0,0,0,0,0,,
