screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,sc table 1,sc table 2,sc table 3,sc table 4,sc table 5,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,SC,0,FALSE,FALSE,1,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,WD,0,,110,141,1,1,1,,FALSE,,F9,F10,F8,F10,F10,,gots000
,,,,M1,,,,,,,,,,,,,,,,,,,,,,,,,,M1,0,0,20,150,700,,M1,1,,9890,9859,0,0,0,,,,M4,M1,M3,F6,F6,,do not remove this last column
,,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,M2,0,0,20,130,400,,M2,0,,,,,,,,,,F10,M1,M3,WD,WD,,
,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,M3,0,0,20,120,400,,M3,0,,,,,,,,,,M1,M1,M3,F8,F8,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,20,100,200,,M4,0,,,,,,,,,,M1,F10,F6,F8,F7,,
,,,,M5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,20,100,200,,M5,0,,,,,,,,,,M1,F7,F8,M3,F9,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,10,80,180,,F6,0,,,,,,,,,,F7,WD,M1,M3,M3,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,10,80,180,,F7,0,,,,,,,,,,M3,F6,M1,M3,M3,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,10,80,180,,F8,0,,,,,,,,,,F9,F7,F9,F8,M3,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,10,80,180,,F9,0,,,,,,,,,,SC,M2,SC,M2,F7,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,10,80,180,,F10,0,,,,,,,,,,F7,M2,F10,F8,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,M1,M5,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,F7,M5,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,F8,M5,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,WD,F7,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,F7,F8,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M5,F6,WD,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,M5,M4,F10,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M5,M4,F10,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,M4,M1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,F10,M1,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F10,F6,M1,F9,,
